제목,기사 내용,타임스탬프
"구로구, 내년 모든 경로당에 비상호출벨 설치…벨 누르면 경찰서 연결","가수 효린이 1인 기획사를 운영하며 생긴 경제적인 고충을 털어놨다.28일 유튜브 채널 ‘노빠꾸 탁재훈’에는 ‘씨스타19 효린 보라, 있다 없어졌는데 다시 나와보니 여름 아니고 겨울이라 그룹 정체성이 혼란이 온 건에 대하여’라는 제목의 영상이 게재된 가운데, 씨스타19 멤버 효린과 보라가 출연했다.이날 효린은 6년째 1인 기획사를 운영중이라면서 “운영을 봐주시는 대표님이 따로 계신다. 제가 다 할 수는 없으니까”라고 말했다. 이어 “괜찮냐”라는 물음에 “안 괜찮다. 대표님과 저 이렇게다. 다른 사람은 못 키운다. 지금 나 하나도 버겁다. 혼자 해먹어도 남는게 없다”고 토로했다. 그러면서 1인 기획사 운영 이유에 대해 “그냥 제가 하고싶은 걸 다양하게 해보고 싶었다. 운영비도 많이 들어간다”며 밝혔다.혼자 벌어야 하면 월급은 밀리지 않냐는 물음에는 “월급은 안 밀린다. 내가 굶더라도 준다”고 책임감을 드러내면서도 “지금까지 벌어놓은 거 다 까먹었다”고 솔직하게 고백해 웃음을 안겼다.이를 듣던 탁재훈이 보라에게 “효린이가 거지인걸 알았냐”고 물었고, 보라 역시 “알고 있었다. 저도 거지다. 저는 왜 거지일까요?”라고 말하며 호탕하게 웃었다.효린의 기획사에 보라가 들어가면 어떻냐는 제안에는 “그럼 제 돈도 더 거지가 되는 거냐”며 “나를 키워달라. 투자를 해야하지 않냐”고 했다. 그러나 효린은 “키워줄 순 있는데 밑받침이 있어야 하지 않냐. 정말 돈이 있어야 한다”며 “돈을 줄 생각이 없진 않지만 생각은 있고 마음은 있지만 돈이 없다”고 재차 말해 웃음을 더했다.또 그룹 ‘씨스타’ 멤버 중 누가 제일 잘 된 것 같냐는 질문에 효린과 보라 모두 “소유”라고 입을 모았다.아울러 보라는 자신이 주로 연하만 만났다면서 “연상을 만나고 싶다는 이야기가 나이적인 것도 있지만 생각적인게 좀 어른스러운 사람을 만나고 싶더라”고 밝혀 눈길을 끌었다.[뉴시�",2023-12-29 01:14:13
남해군‘스마트 경로당’구축으로 어르신 행복지수 높여,"남해군‘스마트 경로당’구축으로 어르신 행복지수 높여

‘스마트 경로당 시스템’사업 완료 보고회 성료

남해군은 지난 27일 ‘스마트 경로당 시스템 구축 완료보고회’를 개최했다./사진 : 남해군 제공



[대한경제=김옥찬 기자] 남해군은 지난 27일 ‘스마트 경로당 시스템 구축 완료보고회’를 개최했다고 28일 밝혔다.



‘스마트 경로당 시스템 구축’ 사업은 지역사회 디지털전환과 균형발전을 목적으로 하는 과학기술정보통신부의 공모사업 일환으로, 이날 보고회에는 장충남 남해군수를 비롯한 남해경찰서와 남해소방서 관계자, 마을 대표 등 70여 명이 참석했다.



이번 사업을 통해 남해군 관내 이동면, 상주면, 삼동면, 미조면 일대 경로당 75개소에 ‘양방향 스마트 안전 서비스’ 및 ‘경로당 통합정보 서비스’가 구축됐다.



설치된 기기는 △75인치 TV △32인치 통합정보단말기 △지능형 CCTV 및 비상벨 △화재·가스감지센서 △셋톱박스 등이다.



‘양방향 스마트 안전 서비스’는 경로당을 이용하는 노인들의 안전을 위한 시스템이다. 화재나 가스 누출과 같은 비상상황이 발생하거나 노인이 비상벨을 누르면 즉시 관제센터로 연결된다.



경로당 내 설치된 CCTV를 통해 실시간 내부 영상이 전송되며, TV를 통해 관제센터와 1대1 실시간 영상 대화가 가능하다.



또한 스마트시티 통합플랫폼과 연계돼 있어 경찰과 소방의 빠른 출동 및 조기 진압이 가능하다.



CCTV 촬영은 비상 상황 시에만 작동하여 어르신들의 개인정보를 철저히 지킨다.



‘경로당 통합정보 서비스’는 노인들의 일상생활에 필요한 정보를 제공한다. 75인치 대형 TV와 32인치 통합정보단말기를 통하여 △재난·재해 정보 △날씨·군정 및 면정보 △남해 지역 행사 정보 등을 제공한다.



또한 노인들이 버스정류장에서 기다릴 필요 없이 경로당 내에서 버스시간에 맞춰 나갈 수 있도록 버스정보도 제공된다.



이와 함께 원격 화상회의 시스템을 통하여 비대면 의료상담, 여가복지 프로그램, 축제 행사장 라이브 방송 등 다양한 콘텐츠 및 맞춤형 프로그램을 제공할 예정이다.



장충남 군수는 “스마트 경로당 시스템 구축은 어르신들의 생활 편의성 향상과 안전을 동시에 보장하는 중요한 발판이 될 것”이라며 “앞으로도 지속적인 서비스 개선을 통하여 어르신들을 포함한 모든 군민의 안전을 지킬 수 있는 핵심시스템으로 자리매김 시키겠다”고 밝혔다.





남해=김옥찬 기자 kkkochan20@



〈ⓒ 대한경제신문(www.dnews.co.kr), 무단전재 및 수집, 재배포금지〉",2023-12-29 01:14:14
울산해경 범죄·사고예방 위해 주전항에 CCTV·비상벨설치,"해경은 안전비상벨, LED안내판, 경광등, 스피커 등도 함께 설치했다.

이를 통해 동구청 CCTV 관제센터에서는 방파제 낚시객 실족 등 안전사고에 취약한 지역을 실시간 모니터링해 사전에 안전을 계도할 수 있게 됐다. 또 현장에서는 사고 발생 시 안전 비상벨을 눌러 관제원과의 쌍방향 통화로 신속한 상황 대응도 가능하게 됐다.

정욱한 울산해양경찰서장은 “앞으로도 동구청과 협업을 통해 관내 취약 항·포구에 CCTV를 추가 설치해 연안 안전관리 사각지대 해소 및 해양 범죄 대응에 노력하겠다”고 말했다.

권지혜기자 ji1498@ksilbo.co.kr",2023-12-29 01:14:15
남해군 '스마트 경로당 시스템' 구축사업 완료,"남해군은 지난 27일 ‘스마트 경로당 시스템 구축 완료보고회’를 남해경찰서와 남해소방서 관계자, 마을 대표 등 70여명이 참석한 가운데 개최했다고 밝혔다.



‘스마트 경로당 시스템 구축’ 사업은 지역사회 디지털전환과 균형발전을 목적으로 하는 과학기술정보통신부의 공모사업 일환으로 추진됐다,



이번 사업을 통해 남해군내이동면, 상주면, 삼동면, 미조면 일대 경로당 75개소에 ‘양방향 스마트 안전 서비스’ 및 ‘경로당 통합정보 서비스’가 구축됐다. 설치된 기기는 △75인치 TV △32인치 통합정보단말기 △지능형 CCTV 및 비상벨 △화재·가스감지센서 △셋톱박스 등이다.



‘양방향 스마트 안전 서비스’는 경로당을 이용하는 노인들의 안전을 위한 시스템이다. 화재나 가스 누출과 같은 비상상황이 발생하거나 노인이 비상벨을 누르면 즉시 관제센터로 연결된다.



경로당 내 설치된 CCTV를 통해 실시간 내부 영상이 전송되며, TV를 통해 관제센터와 1:1 실시간 영상 대화가 가능하다.



남해군은 지난 27일 ‘스마트 경로당 시스템 구축 완료보고회’를 개최했다.

또한, 스마트시티 통합플랫폼과 연계돼 있어 경찰과 소방의 빠른 출동 및 조기 진압이 가능하다. CCTV 촬영은 비상 상황 시에만 작동하여 어르신들의 개인정보를 철저히 지킨다.‘경로당 통합정보 서비스’는 노인들의 일상생활에 필요한 정보를 제공한다. 75인치 대형 TV와 32인치 통합정보단말기를 통하여 △재난·재해 정보 △날씨·군정 및 면정보 △남해 지역 행사 정보 등을 제공한다. 노인들이 버스정류장에서 기다릴 필요 없이 경로당 내에서 버스시간에 맞춰 나갈 수 있도록 버스정보도 제공된다.이와 함께 원격 화상회의 시스템을 통하여 비대면 의료상담, 여가복지 프로그램, 축제 행사장 라이브 방송 등 다양한 콘텐츠 및 맞춤형 프로그램을 제공할 예정이다.장충남 군수는 “스마트 경로당 시스템 구축은 어르신들의 생활 편의성 향상과 안전을 동시에 보장하는 중요한 발판이 될 것”이라며 “앞으로도 지속적인 서비스 개선을 통하여 어르신들을 포함한 모든 군민의 안전을 지킬 수 있는 핵심시스템으로 자리매김 시키겠다”고 말했다. 김윤관기자 kyk@gnnews.co.kr",2023-12-29 01:14:16
"원주영 남양주시의원, 다산동에 '스마트버스정류장' 설치..'정경자 도의원께 ...","남양주시의회 원주영 의원.(사진=원주영)©열린뉴스통신ONA

(남양주=열린뉴스통신) 임성규 기자 = 남양주시 다산동에 첨단 스마트버스정류장이 설치될 예정이다.

남양주시의회 원주영 의원에 따르면 스마트버스정류장이란 냉·난방, 공기청정시설은 물론 범죄예방을 위한 CCTV, 비상벨, 이용자들을 위한 각종 편의시설 및 정보 제공시설을 갖춘 첨단 버스정류장이다.

지난 27일 경기도는 정경자 경기도의원(국민의힘, 비례)이 다산동 일원 스마트버스정류장 설치에 투입할 경기도 특별조정교부금 9억 원을 확정했고, 이는 원주영 의원이 제시한 남양주시민들의 대중교통 이용 편의성 증진을 위한 방안으로 정경자 경기도의원에게 적극 건의해 진행됐다.

정경자 도의원은 ""스마트버스정류장은 대중교통을 이용하는 시민들께 안전과 편안함을 드릴 수 있다""라며 ""앞으로도 다산동의 쾌적한 환경 조성을 위해 원주영 시의원과 적극 노력하겠다""라고 말했다.



경기도의회 정경자 의원(비례 국민의힘).(사진=정경자)©열린뉴스통신ONA

원주영 시의원은 ""다산동의 대중교통망이 점차 개선되고 있지만 주민들의 불편함은 여전히 크다""라며 ""추위와 더위를 피할 수 있고 안전시설과 각종 편의시설을 갖춘 스마트버스정류장의 도입으로 대중교통을 이용하는 다산동 주민들의 편의성이 향상될 것으로 기대한다""라고 말했다.

그는 또 ""2024년 1월부터 시행되는 경기도형 준공영제 대상노선 중 다산동을 경유하는 76번, 9번 버스의 투입 및 배차간격을 면밀히 검토하고 주민들의 불편함을 최소화하겠다""라며 ""다산동과 남양주시의 발전에 관심을 가지고 예산 확보를 위해 지속적으로 노력해주신 정경자 도의원께 감사드리며 앞으로도 최선을 다해 주민편의 향상을 위해 노력하겠다""라고 밝혔다.

한편 남양주시는 2023년 12월 현재 총 13곳의 스마트 버스정류장이 운영 중이다.",2023-12-29 01:14:17
"대구 서부경찰서·서구청, 스마트안심 버스승강장 추가 설치","[경상매일신문=조필국기자]대구서부경찰서 생활안전계는 28일 서구청 교통계와 협력해 서구 지역내 총 7개소(서구청·이마트 트레이더스·제일고등학교·광장타운·중리롯데캐슬·북부정류장 앞·원대시장 건너 승강장)에 스마트안심 버스 승강장을 추가 설치했다고 밝혔다. 이상동기범죄 등 긴급상황에 대비해 안전구호 역할을 하는 스마트 안심버스 승강장 내에는 강화유리 자동개폐문(잠금장치), CCTV, 비상벨, 경광등과 같은 범죄예방 시설물들이 설치돼 있다. 이는 신속출동으로 인한 피해자 보호 및 주민 체감 안전도 향상에 크게 기여될 것으로 기대된다. 김순태 서부경찰서장은 “스마트안심 버스승강장은 경찰과 지방자치단체가 문제해결에 앞장 선 지역맞춤형 치안 서비스의 우수사례이며, 앞으로도 지방자치단체와 지속적인 협업과 교류를 통해 서구 주민의 안전을 위해 최선을 다하겠다”고 밝혔다.",2023-12-29 01:14:39
"수성구, 휴대용비상벨통한안전지키미 지원 추진","[경상매일신문=조필국기자]대구 수성구는 범죄 취약계층의 안전을 위해 ‘휴대용 비상벨을 통한 안전지키미 지원사업’을 추진한다고 28일 밝혔다.나날이 느는 데이트 폭력, 가정폭력 등 이상동기 범죄로부터 사회적 약자를 보호하고 촘촘한 사회안전망을 구축하기 위해 기획한 사업이다.여성․사회적 약자 등 취약계층의 외부활동을 위한 보호장치가 필요하다는 박충배 수성구 의원의 5분 자유발언이 계기가 됐다.수성구는 사업의 원활한 추진을 위해 27일 수성경찰서와 업무 협약을 체결하고 △범죄 데이터를 활용한 지원대상자 선정 △휴대용 비상벨 지원·보급 △위기상황 발생시 경찰력 동원 등에서 상호 협력하기로 했다.휴대용 비상벨을 작동하면 경고음이 발생해 주변에 위험을 알리고, 미리 설정한 최대 5명의 지인에게 위치 정보가 담긴 비상 문자를 즉시 발송한다. 경고음 발생 후 20초가 지나면 112에 자동 신고하는 기능도 선택할 수 있다.가정폭력, 스토킹 피해사건 접수현황 및 범죄 데이터 등을 활용해 지원대상자를 선정할 예정이다.김대권 수성구청장은 “수성구민의 안전을 위해서는 어떠한 지원과 노력도 아끼지 않을 계획이다. 특히, 범죄 취약계층을 위한 안전 시책 강화로 사회적 약자와 동행하는 수성구를 만들겠다”고 밝혔다.",2023-12-29 01:14:41
"원주영 시의원. 정경자 도의원, 경기도 특별조정교부금 9억 확정","다산동 첨단 스마트버스정류장 설치

시, 2023년 12월 현재 총 13곳의 스마트버스정류장 운영중

남양주시 다산동에 첨단 스마트버스정류장이 설치될 예정이다고 28일 밝혔다.

원주영 시의원(사진=남양주시의회)

스마트버스정류장이란 냉·난방, 공기청정시설은 물론 범죄예방을 위한 CCTV, 비상벨, 이용자들을 위한 각종 편의시설 및 정보 제공시설을 갖춘 첨단 버스정류장이다.

지난 27일 경기도는 정경자 경기도의원(국민의힘, 비례)이 다산동 일원 스마트버스정류장 설치에 투입할 경기도 특별조정교부금 9억원을 확정했다고 밝혔다.

이는 원주영 남양주시의원이 제시한 남양주시민들의 대중교통 이용 편의성 증진을 위한 방안으로 정경자 경기도의원에게 적극 건의하여 진행됐다.

정경자 도의원(사진=남양주시의회)

정 도의원은 “스마트버스정류장은 대중교통을 이용하는 시민들께 안전과 편안함을 드릴 수 있다”며 “앞으로도 다산동의 쾌적한 환경 조성을 위해 원주영 시의원과 적극 노력하겠다”고 말했다.

원 시의원은 “다산동의 대중교통망이 점차 개선되고 있지만 주민들의 불편함은 여전히 크다”며 “추위와 더위를 피할 수 있고 안전시설과 각종 편의시설이 다산동 주민들의 편의성이 향상될 것으로 기대한다”고 말했다.

이어 원 의원은 “2024년 1월부터 시행되는 경기도형 준공영제 대상노선 중 다산동을 경유하는 76번, 9번 버스의 투입 및 배차간격을 면밀히 검토하고 주민들의 불편함을 최소화하겠다”며

“다산동과 남양주시의 발전에 관심을 가지고 예산 확보를 위해 지속적으로 노력해주신 정경자 도의원께 감사드리며 앞으로도 최선을 다해 주민편의 향상을 위해 노력하겠다”고 밝혔다.

한편 남양주시는 2023년 12월 현재 총 13곳의 스마트버스정류장을 운영중이다.

저작권자 © 파이낸스투데이 무단전재 및 재배포 금지

Fn투데이는 여러분의 후원금을 귀하게 쓰겠습니다.",2023-12-29 01:14:42
"남해군,안전하고 똑똑한 경로당 구축한다","[경남=뉴스프리존]제정준 기자= 남해군이 스마트 경로당을 구축해 어르신들의 행복지수를 높일 것으로 기대된다.

남해군은 지난 27일 남해군CCTV통합관제센터에서 ‘스마트 경로당 시스템 구축 완료보고회’를 개최했다.(사진=남해군)

남해군은 지난 27일 남해군CCTV통합관제센터에서 ‘스마트 경로당 시스템 구축 완료보고회’를 개최했다.

‘스마트 경로당 시스템 구축’ 사업은 지역사회 디지털전환과 균형발전을 목적으로 하는 과학기술정보통신부의 공모사업 일환으로, 이날 보고회에는 장충남 남해군수를 비롯한 남해경찰서와 남해소방서 관계자, 마을 대표 등 70여명이 참석했다.

이번 사업을 통해 남해군 관내 이동면, 상주면, 삼동면, 미조면 일대 경로당 75개소에 ‘양방향 스마트 안전 서비스’ 및 ‘경로당 통합정보 서비스’가 구축됐다.

설치된 기기는 △75인치 TV △32인치 통합정보단말기 △지능형 CCTV 및 비상벨 △화재·가스감지센서 △셋톱박스 등이다.

‘양방향 스마트 안전 서비스’는 경로당을 이용하는 노인들의 안전을 위한 시스템으로, 화재나 가스 누출과 같은 비상상황이 발생하거나 노인이 비상벨을 누르면 즉시 관제센터로 연결된다.

경로당 내 설치된 CCTV를 통해 실시간 내부 영상이 전송되며, TV를 통해 관제센터와 1대1 실시간 영상 대화가 가능하다.

또한, 스마트시티 통합플랫폼과 연계돼 있어 경찰과 소방의 빠른 출동 및 조기 진압이 가능하다.

CCTV 촬영은 비상 상황 시에만 작동하여 어르신들의 개인정보를 철저히 지킨다.

‘경로당 통합정보 서비스’는 노인들의 일상생활에 필요한 정보를 제공한다.

75인치 대형 TV와 32인치 통합정보단말기를 통해 △재난·재해 정보 △날씨·군정 및 면정보 △남해 지역 행사 정보 등을 제공한다.

또한, 노인들이 버스정류장에서 기다릴 필요 없이 경로당 내에서 버스시간에 맞춰 나갈 수 있도록 버스정보도 제공된다.

이와 함께 원격 화상회의 시스템을 통해 비대면 의료상담, 여가복지 프로그램, 축제 행사장 라이브 방송 등 다양한 콘텐츠 및 맞춤형 프로그램을 제공할 예정이다.

장충남 군수는 “스마트 경로당 시스템 구축은 어르신들의 생활 편의성 향상과 안전을 동시에 보장하는 중요한 발판이 될 것”이라며 “앞으로도 지속적인 서비스 개선을 통하여 어르신들을 포함한 모든 군민의 안전을 지킬 수 있는 핵심시스템으로 자리매김 시키겠다”고 밝혔다.",2023-12-29 01:14:43
"수성구, 취약계층에 휴대용비상벨지원","대구 수성구는 범죄 취약계층의 안전을 위해 ‘휴대용 비상벨을 통한 안전지키미 지원사업’을 추진키로 했다.



나날이 느는 데이트 폭력, 가정폭력 등 이상동기 범죄로부터 사회적 약자를 보호하고 촘촘한 사회안전망을 구축하기 위해 기획했다.



앞서 여성·사회적 약자 등 취약계층의 외부활동 보호장치 마련을 촉구한 박충배 수성구의원의 5분 자유발언을 계기로 추진하게 됐다.



수성구는 사업의 원활한 추진을 위해 27일 수성경찰서와 업무 협약을 체결했다. 범죄 데이터를 활용한 지원대상자를 선정해 휴대용 비상벨을 지원하고 위기상황 발생 시 상호 협력키로 했다.



휴대용 비상벨을 작동하면 경고음이 발생해 주변에 위험을 알리고 미리 설정한 최대 5명의 지인에게 위치 정보가 담긴 비상 문자를 발송한다. 경고음 발생 후 20초가 지나면 112에 자동 신고하는 기능도 선택 가능하다. 지원대상자는 가정폭력, 스토킹 피해사건 접수현황 및 범죄 데이터 등을 활용해 선정할 예정이다.





이지연기자 ljy@idaegu.co.kr



",2023-12-29 01:14:45
