제목,기사 내용
"[시험 리뷰] 영상정보처리사, 직무적합성ㆍ난도 'UP'","■영상정보관리사 자격 검정 체험기



컴퓨터·시스템 운용역량 변별력 ‘쑥’

CCTV 관련 법령 꼼꼼 숙지 필요

활용처 지속 증가…‘지금’이 준비 적기

실기 시험 시작 직후 주관 협회와 감독관의 허락하에 촬영한 영상정보관리사 6번 시험장 전경.

[정보통신신문=최아름기자]

‘현재 영상정보관제요원이거나 영상정보관제 업무에 관심이 있다면, 한 회차라도 빨리 취득할 것.’

지난 3일 올해 마지막으로 시행된 영상정보관리사 검정 시험을 치르고 난 기자의 소감 한 줄 요약이다.

3개의 국가공인 자격종목(PC정비사네트워크관리사 등)을 주관하는 한국정보통신자격협회가 2021년부터 주관하고 있는 영상정보관리사는 영상정보처리기기에서 수집되는 영상정보의 관리 및 보호에 필요한 지식과 기술을 바탕으로 영상정보를 모니터링하고, 보호할 수 있는 이론적, 실무적 능력의 유무를 평가하는 자격이다. 내년부터 강남구청 관제센터 요원 채용에 가산점 3점이 적용되는 등 지방자치단체, 공기업, 관련 산업계에서 채용우대 및 인사고과 등 활용이 증대되고 있다.

기자가 시험을 치른 서울 성동공업고등학교 ‘6번 시험장’에 모인 응시생들은 30~40대가 주연령대로, 50대도 간간히 보이는 모습이었다. 협회 관계자에 따르면 이날 응시 평균연령은 38세로, 20대 초반부터 60대 중후반까지 골고루 포진돼 있었다. 모두 두꺼운 인쇄물을 들고 있는 모습이 실무자들에게도 만만치 시험임을 짐작케 했다.

응시 과정에서 느껴진 첫 인상은 CCTV 관제, 기기 운용, 관리 등 직무 맞춤으로 탄탄하게 설계된 시험이라는 점이었다.

총 1시간 20분간 치러지는 시험은 실기(100점, 40분)와 필기(100점, 40분)로 나뉘며, 합산 120점 이상, 각 40점 이상을 득점해야 합격이다.

문항은 개인정보보호법, 정보통신망법, 아동복지법상의 영상정보처리기기 관련 조항에 대한 이해, 캠 영상 분석을 통한 폭행, 절도 등 상황 보고, 영상정보관제시스템(VMS) 구성 완성 등 실제 관제 업무에 준하는 실습 과제 및 이를 수행하는 데 필요한 지식을 검정하는 문제들이 고르게 출제돼 있었다.

시험만 꼼꼼하게 준비하면 영상관제 업무를 성공적으로 수행하는 데 전혀 부족함이 없겠다는 느낌이었다.

기자의 시험장 책상에 붙은 수험표의 모습. 가채점을 위해 뒷면에 답안을 적었지만, 철저한 감독탓에 가지고 나올 수는 없었다.​

다만 기출문제를 통해 연습한 것보다 문제가 ‘훨씬’ 어려워졌다는 느낌을 받았다.

관련 조항에서 단어를 교묘히(?) 바꾸어놓거나, 공공기관에서만 적용되는 내용을 ‘모두’ 고르게 하는 등 법 조항에 대한 꼼꼼한 숙지가 없으면 답을 맞추기 어려웠다. CCTV 영상 분석 실기도 까딱하면 1초차로 상황 단서를 놓치거나 '오인'하기 쉬워 까다로웠다.

네트워크 환경 설정, 시스템 등록정보 설정 등 컴퓨터 활용 역량을 묻는 문제들도 많이 출제됐다. 컴퓨터 활용이 익숙하지 않은 여성이나, 50·60대 응시자의 경우 많이 당혹스럽겠다는 생각이 들었다.

애석하게도, 컴퓨터 활용 능력 문제 비중은 늘어난 것은 바로 이러한 응시자들을 변별해내기 위한 조치다.

일부 관제사의 경우 기본적인 네트워크 연결이 해제된 것을 인지하지 못해 AS 요원을 호출하는 경우들이 벌어지는 등, 기본적인 컴퓨터 이해 및 운용 능력이 CCTV 관제사에게 요구되고 있다는 것.

이렇듯 실무 관련 역량 검증 강화의 취지에서 전반적인 문제 난도 역시 꾸준히 상승할 것으로 보인다. 한국직업능력연구원 자격센터 통계에 따르면 시행 첫해인 2021년 영상정보관리사의 합격률은 71.99%, 지난해는 63.81%였다.

시험을 제대로 준비하고 싶어도 로드맵이나 교재가 준비되지 않은 점도 아쉬움으로 남았다.

협회측은 내년에는 수험 교재가 발간될 예정이라고 전했다.

한편, 개인정보보호위원회에 따르면 전국 221개 통합관제센터에는 지난해 말 기준 약 57만1000대의 영상정보처리기기(CCTV)를 관제하고 있다. 전년에 비해 8.7% 증가한 규모다.

통합관제센터 근무인력(5709명) 중 관제업무 종사자는 4277명으로, 종사자 대부분이 공무직과 용역 등 비전문가로 구성돼 있는 상황이다.

영상정보처리기기는 지방자치단체, 국가기반시설, 경찰, 법무부, 산림청, 국방부, 의료시설, 무인경비, 아파트관리 등 다양한 직무 분야에서 활용되고 있다. 이에 미국, 영국 등 선진국과 같은 인적자원에 대한 기준 정립 및 공인 민간자격의 필요성이 절실해 지고 있다.

지난 3월 윤주경 국민의힘 의원은 대규모 영상관제 시설 안전성 강화를 위한 △종사자 자격 및 교육 등 강화 △공인 민간자격 및 교육과정 개발·보급 등을 지원하는 내용의 ‘영상정보처리기기의 설치·관리 및 개인 영상정보의 보호 등에 관한 법률안’을 발의한 바 있다.

지난달 국회에서 열린 개인영상정보 관련 법률안 토론회에서도 개인정보보호위원회가 관계자 발표를 통해 공인 민간자격 개발 필요성을 언급하기도 했다.

영상정보관리사 자격이 개인정보의 새로운 파트인 개인영상정보의 패러다임을 이끄는 선도적인 역할을 할 날이 머지않아 보인다.

저작권자 © 정보통신신문 무단전재 및 재배포 금지"
지역의원 특별교부세 확보 잇따라,"카카오톡(으)로 기사보내기 카카오스토리(으)로 기사보내기 네이버밴드(으)로 기사보내기 네이버블로그(으)로 기사보내기 URL복사(으)로 기사보내기

이 기사를 공유합니다

박성민 국회의원

국민의힘 박성민 국회의원(울산 중구)은 올해 하반기 울산 중구 특별교부세 30억 원과 울산시 개별 예산 20억 원이 추가 확정됐다고 4일 밝혔다.

같은 당 권명호 국회의원(울산 동구)도 이날 행정안전부로부터 남목 건강생활지원센터 건립, 화암추등대 전망데크 연장사업, 큰마을저수지 생활안전 범죄예방시설 확충 및 성능개선 사업 등에 대한 특별교부세 24억원을 확보했다고 전했다.

울산 중구는 올해 상반기 27억 원에 이어 하반기 30억 원을 확정받아 총 57억 원의 특별교부세 세입이 확충됐다. 또 중구 축구장 설립과 관련해 행안부에서 울산시로 교부한 20억 원 예산이 추가배정·확정돼 총 77억 원의 예산을 확보하게 됐다.

이번 특별교부세로 선정된 중구 현안사업은 △소바우공원내 주차장조성 6억 원 △울산중구 정신건강복지센터 공간조성 4억 원 △행정복지센터 통합에 따른 시설개선 3억 원 △건강가정·다문화 가족지원센터 건립 4억 원 △공룡발자국공원 데크정비공사 7억 원 △도시공원 범죄예방을 위한 CCTV 확대 및 보강설치 사업 6억원 등 총 6개 사업이다.

권명호 국회의원

권 의원이 확보한 남목 건강생활지원센터 건립사업(총사업비 87억4,400만원)은 지방비 부족분 7억 원을 특별교부세로 확보하게 됨으로써 사업이 안정적으로 추진될 것으로 보인다.

화암추등대 전망데크 연장사업(총사업비 16억 원)도 7억 원의 특별교부세를 확보했으며, 큰마을저수지 생활안전 범죄예방 시설 확충 및 성능개선 사업 4억 원, 범죄예방디자인 기반의 도시공원 CCTV시설 환경 개선사업 4억 원, 국공립 남목어린이집 2억원을 확보했다.

한편, 국회 국토교통위원회 서범수(울산 울주, 국민의힘) 의원은 이날 올해 행정안전부 특별교부세 20억 원을 확보했다고 전했다.

행안부 특별교부세 대상 사업으로는 상북면 행정복지센터 증축사업에 10억 원, 삼남읍 두서면 상북면 일대 산책로 방범용 CCTV 설치 2억 원, 삼동 관음곡 저수지 개보수 공사 4억 원, 두서 가정 저수지 개보수 공사 4억 원 등 총 4개 사업에 20억 원이다. 최성환기자 csh9959@"
"'우아한 제국' 한지완, 손성윤과 손잡고 이시강 복수→정체 발각 위기 [종합]","우아한 제국 / 사잔=KBS2 캡처

우아한 제국 / 사잔=KBS2 캡처"
"'우아한 제국' 금고 뒤지는 이시강, 침입 흔적에 한지완 의심할까...김미라X권...","▲(사진, KBS2TV '우아한 제국' 캡처)

[매일안전신문=이현정 기자] 이시강이 금고를 찾아 한지완이 긴장했다.

4일 7시 50분 방송된 KBS2TV '우아한 제국'(연출 박기호/극본 한영미)71회에서는 장기윤(이시강 분)의 금고를 따려는 서희재(한지완 분)의 모습이 그려졌다.



이날 방송에서 서희재가 장기윤 서재에 설치된 비밀금고를 열려고 하는데 장기윤이 집으로 돌아왔다. 이에 서희재는 장수아(윤채나 분)의 방으로 달려가 숨었다.

장기윤은 서재 비밀 금고의 끊어진 실을 확인하고는 ""침입자가 있다""고 중얼거린 뒤 CCTV 영상을 확인했다. 그러나 CCTV 영상에는 아무도 찍히지 않았고 당황한 장기윤은 ""CCTV에 찍히지도 않고 어떻게 금고에 접근한건지 모르겠다""고 의심했다.

▲(사진, KBS2TV '우아한 제국' 캡처)

그런가하면 정준희(김미라 분)와 황성일(권오현 분)이 만났다. 황성일은 ""우리 혼인 신고는 하지 말자""며 ""내가 돈 보고 만나는 거란 오해 받고 싶지 않다""고 했다. 그러면서도 ""당신이 내 마지막 사랑이고 내 아내다""고 고백했다.

정준희는 ""인생 끝자락에서 선생님 만난 거 선물 같다""며 ""나에게 시간이 얼마 남지 않았다는 거 느끼고 있고 하루하루 느껴지는 통증이 나에게 떠나라고 말하는 거 같다""고 했다. 그러면서 정우혁(강율 분)을 부탁했다.

이가운데 홍혜림(김서라 분)이 서희에게 장기윤의 아들을 낳으라고 했다. 하지만 서희재는 ""아이 가질 생각 없다""며 ""장수아에게 배다른 형제 만들어주고 싶지 않고 못된 새엄마 소리 듣고 싶지 않다""고 했다.





매일안전신문 / 이현정 기자 peoplesafe@daum.net

[저작권자ⓒ 매일안전신문. 무단전재-재배포 금지]"
"박병석 의원, 행안부 특별교부세 8억 확보","박병석 국회의원(대전서구.갑)

[시티저널=안희대 기자] 대전 서구 복수초등학교 일원 보행로가 확장되고, 선유근린공원 조도가 개선되는 등 서구갑 지역 생활안전이 개선될 전망이다.

4일 박병석 국회의원실에 따르면 대전 서구는 행정안전부로부터 지역현안과 재난안전수요 사업을 위한 특별교부세 8억 원을 확보했다.

사업별 특별교부세는 지역현안 사업으로 복수초등학교 일원 보행로 확장사업 2억 원과 선유근린공원 조도개선사업 2억 원, 재난안전수요 사업으로 도마2동 난공사지역(도솔산 등산로) 방범용 cctv 설치 3억 원, 장안로(장태산휴양림) 일원 자동제설장비 설치 1억 원 등이다.

복수초 일원 보행로는 초등학생들이 이용하는 통학로로 보도 폭이 좁아 안전사고에 대한 우려가 컸던 곳이다.

보행로가 확장되면 복수초 재학생과 인근 주민들의 통행 안전이 크게 개선될 전망이다.

선유근린공원은 2021년도에 조성된 ‘구봉지구 무장애나눔길’의 조도가 낮아 이용 불편과 안전사고에 대한 우려가 컸던 곳이다.

무장애나눔길 조도가 개선되면, 공원을 이용하는 가족단위 이용객들의 야간 이용 시 보다 안전한 보행이 가능한 가족형 친환경공원으로 재탄생하게 된다.

도마2동 난공사지역 방범용 cctv 설치는 도마2동에 대부분 편입되어 있는 도솔산 등산로에 cctv를 설치하는 사업이다.

이번 사업으로 관제 사각지대가 어느 정도 해소되어, 최근 이슈가 된 이상동기 범죄를 예방하고, 등산객과 인근 주민들이 안심하고 도솔산 등산로를 이용할 수 있는 환경이 조성될 것으로 보인다.

장태산휴양림(장안로) 일원은 상습결빙구간으로 겨울철 적설과 결빙으로 인한 재난 우려가 큰 곳이다.

자동제설장비가 설치되면 한정된 인력과 장비로 인한 제설작업의 어려움이 해소되어 휴양림 이용객과 주민들의 통행안전이 크게 개선될 전망이다."
나라 망신시키는 바가지 상혼,"데스크의 주장

이재경 국장(천안주재)

한국 여행을 오는 외국인들이 자국을 비교하면서 가장 한국인들을 부러워하는 것이 한 가지 있다.



바로 남의 물건을 훔치거나 탐내지 않는 성숙한 국민의식이다.



외국인들은 한국에서 여행을 할 때 제일 먼저 도심 카페나 전철, 대중버스, 터미널 대합실 등을 이용하면서 놀란다.



한국인들이 카페나 커피숍에서 아무렇게나 노트북이나 휴대폰, 책가방 등을 테이블에 놓고 화장실을 오가거나 주문을 하는 모습을 보면서다. 물론 자신들의 나라에서는 상상할 수 없는 모습들이다.



동남아나 아프리카지역은 말 할 것도 없고 선진국이라는 유럽의 이태리나 스페인, 영국이나 미국, 남미 등 대부분의 나라들에서 여행객들은 자신의 가방이나 소지품의 도난을 걱정해야 한다.



여행지에서 가이드에게 제일 먼저 들어야 하는 말이 `소매치기를 조심하라'는 말일 정도다.



그리고 잃어버려도 찾을 방법이 없다. 도난품을 찾기 위해 경찰서를 찾아가려하면 가이드에게 “포기하시라. 시간만 낭비예요”라는 말을 듣게 된다.



그런데 그런 외국인들이 한국 여행에서 도둑 걱정을 하지않게 됐으니 얼마나 놀랍고 부러웠을까.



한국에서 좀도둑이 사라진 것은 당연히 성숙된 국민의식이기도 하지만 IT강국으로 정부가 오래전부터 추진했던 셉테드 시스템도 한 몫을 했다. 정부는 2000년대 들어 범죄예방 시스템의 일환으로 전국 도심 곳곳에 방범용 CCTV를 설치했다. 그 결과 현재 전세계에서 가장 촘촘한 범죄 안전망을 갖춰놓았다는 평가를 받고 있다.



그런 저변에다 선진사회의 진입으로 한층 더 성장한 시민의식이 정착하면서 오늘의 `도둑없는 나라 한국'이 있게 된 것이다.



이런 가운데 온 국민이 쌓아놓은 한국에 대한 좋은 이미지를 한꺼번에 깎아 먹는 일들이 우리 눈살을 찌푸리게 하고 있다.



외국인을 대상으로 한 일부 상인들의 `바가지 상혼'이다. 지난달 한 유튜브 채널에서 공개됐는데 서울에서 외국인이 가장 많이 찾는 전통시장 중 하나인 광장시장에서 문제가 발생했다.



베트남 국적의 관광객 2명이 1만5000원짜리 모듬 전을 한 접시 시켰는데 그 양이 턱없이 부족했다. 뉴스에까지 보도된 이 사건에 많은 국민이 공분했다. 급기야 논란이 확산되자 서울시와 종로구청, 상인회가 나섰다. 해당 업주에 10일간 영업정지 처분을 내리고 현금결제 유도 금지, 친절 서비스 교육 강화 등 대책을 내놓았다.



외국인을 대상으로 한 바가지 요금이 문제가 된 것은 이번 뿐이 아니다. 오래전부터 공항 택시, 유흥 주점의 가짜 양주 등 외국인에 대한 바가지 사례가 적발돼 한국의 이미지에 먹칠을 해왔다.



이번에 문제가 된 광장시장은 120년 역사의 한국 최초의 전통시장으로 외국인들의 서울 도심 여행지에 필수 코스로 꼽히는 곳이다. 그런데도 아직도 노점에서 신용카드 결제가 이뤄지지 않고 이러한 바가지 상혼이 종종 발생해 눈살을 찌푸리게 하고 있다.



이번 일을 계기로 앞으로 국격을 떨어뜨리고 나라 망신을 시키는 몰염치한 바가지 상혼이 자취를 감추길 기대한다.

저작권자 © 충청타임즈 무단전재 및 재배포 금지"
"서대문구, '여성안심 귀가 야간 합동 순찰' 강화","서울 서대문구가 올해 연말연시를 맞아 민관 합동으로 '여성안심 귀가 야간 순찰'에 나섭니다.



이번 야간 순찰은 우범지역을 대상으로 구청·경찰서·민간 자율방범대·대학생 자치순찰대 등이 함께 합니다.



이들 단체는 우범 지역 내 야간 순찰은 물론 골목길 CCTV, 보안등, 도로 표지판 등 안전 시설물 작동 여부 등을 꼼꼼히 확인합니다.



또, 순찰 참여자들은 늦은 밤길 여성 등 사회약자 보호를 위해 집앞까지 함께하는 동행안심 서비스를 제공합니다.



이에따라 구는 지난 1일 실시한 여성안심마을(신촌로1길~성산로22길) 일대 야간 합동 순찰을 시작으로 지역 내 야간 순찰 활동을 더욱 강화할 방침입니다.



구 관계자는 ""작년 기준, 지역 여성 비율이 53.4%로 서울 자치구 중 2번째로 높고, 신촌동의 경우 1인가구 비율이 무려 72%에 달한다""면서 ""앞으로, 여성은 물론 무든 주민안전을 위한 범죄예방 활동을 확대해 나갈 방침""이라고 설명했습니다."
"이종배 의원, 충주시 행정안전부 특별교부세 31억 ‘확보’","▲ 국민의힘 이종배 의원.ⓒ이종배 의원실

국민의힘 이종배 의원(충북 충주)은 4일 행정안전부로부터 충주시 특별교부세 31억 원을 확보했다고 4일 밝혔다.





확보된 특교세는 △동량면 용교리 도시계획도로개설(3억 원) △엄정초등학교 뒤 도시계획도로개설(3억 원) △교현 산림동·달천동·동량면·엄정면·중앙탑면 생활방범구역 CCTV 설치(1억 원) △달천과선교 내진보강공사(9억 원) △탄금대교 내진보강공사(9억 원) △싯계교 내진보강공사(6억 원) 등에 사용된다.





‘동량면 용교리 도시계획도로 개설사업’은 도시 계획 도로로 지정됐으나 장기 미집행 됐던 공군부대 앞 동량면 용교리 도로를 개설하는 사업으로, 지역주민들에게 교통 편의를 제공하고 지역경제 활성화를 도모할 것으로 기대된다.





‘엄정초등학교 뒤 도시계획 도로개설사업’은 엄정초 뒤 부지에 도시계획도로를 개설해 면사무소 소재지 중심의 도로망을 분산함으로써, 도로망을 다각화해 지역주민들에게 더 나은 교통 환경을 제공함은 물론 지역 균형 발전에 이바지할 전망이다.





‘생활방범구역 CCTV 설치사업’은 충주시 교현안림동·달천동·동량면·엄정면·중앙탑면에 방범용 CCTV를 설치하는 사업이다. 이를 통해 골목길, 공원 등 생활권 내 안전사각지역을 해소, 각종 사건·사고를 미리 예방하는 것을 목표로 한다.





또, 달천과선교·탄금대교·싯계교 총 3건의 교량 내진 보강 공사를 위한 특별교부세도 확보했다. 세 교량은 내진 성능평가에서 교각부 및 받침 부에서 내진 성능 부족 평가를 받아 해당 교량들의 보수 필요성이 대두됐다. 교량 내진 성능보강 및 보수를 내용으로 하는 ‘교량 내진보강공사 사업’을 통해 충주시민의 안전 확보가 이뤄질 것으로 기대된다.





이 의원은 “이번 교부세 확보로 충주시민의 안전을 두터이 지킬 수 있게 됐다”고 밝혔다."
부산 곳곳에 골칫거리 ‘무법 오토바이’ 감시할 AI ‘눈’ 설치,"한동훈(사진) 법무부 장관은 4일 오후 개각 리스트에는 포함되지 않을 전망이다. 총선 출마 공직자 사퇴 시한인 내년 1월 11일 이전에 ‘원포인트’ 개각이 이뤄지는 가능성이 제기되는 가운데, 정치권에서는 한 장관의 내년 총선 역할을 두고 다양한 해석이 나오고 있다.이날 단행되는 개각에서 최대 관심사는 한 장관의 거취다. 현재로는 이번 개각 대상에서 빠지고 연말·연초에 교체될 것이란 관측이 우세하다. 여권에서는 벌써 한 장관 출마 지역이나 총선 역할론 등을 두고 다양한 시나리오가 거론되고 있다. 수도권 험지 출마에서 더불어민주당의 상징적 정치인과 맞붙거나, 비례대표로 배치해 전국 선거를 진두지휘하는 ‘선거대책위원장 역할론’까지 다양한 시나리오가 거론된다.이에 대해 여권 고위 인사는 “한 장관은 여권 인사 중 지지율이 1위라서 내년 총선에서 이바지할 방법이 많다”며 “대중에게 전해진 깔끔하고 똑똑한 인상이 큰 강점”이라고 설명했다. 또한, 일찍 개각 명단에 포함되기보다는 법무부 장관으로서 전국 일정을 소화하며 총선 출마의 기대감을 끌어올린 뒤 출사표를 내는 게 더 낫다는 분석도 나온다. 한 장관의 후임으로는 박성재·길태기 전 서울고검장, 이노공 법무부 차관 등이 거론된다.연말까지 개각이 이어지는 배경에는 국가정보원장 교체 이슈가 한몫했다는 관측이 나온다. 내부 권력 다툼을 정리하지 못한 국정원의 후임을 채우는 작업이 만만치 않기 때문이다. 내부 단속에 강점이 있는 인물로 애초 김용현 경호처장이 유력 후보로 거론됐으나 최근 윤석열 대통령이 김 처장에게 “경호처장을 더 맡으시라”고 한 것으로 전해진다. 차기 국정원장에는 조태용 국가안보실장과 천영우 전 대통령실 외교안보수석의 중용이 점쳐지고 있다.한편, 장미란 문화체육관광부 2차관도 출마설이 나온다. 2008년 베이징올림픽에서 금메달을 딴 역도선수 출신인 장 차관은 입각 전부터 국민의힘이 인재 영입 대상으로 거론할 만큼 신망을 받아왔다. 이해완·김보름 기"
[IPA 소식] ‘2023년 IoT 테스트필드 구축과제’ 구축 완료外,"◆IPA, ‘2023년 IoT 테스트필드 구축과제’ 구축 완료

인천항만공사(IPA, 사장 이경규)는 과학기술정보통신부가 주관하는 IoT(사물인터넷) 테스트필드 조성사업(정보통신산업진흥원 전담, 인천자유경제구역청 협력, 인천테크노파크 수행)의 ‘2023년 IoT 테스트필드 구축과제’ 공모에 선정돼 지난 3월부터 추진한 ‘AIoT 디지털 트윈 기반 항만 재난·안전 통합관리 시스템 ‘안전해(海 구축사업’(이하 안전해(海))을 성공적으로 완료했다고 4일 밝혔다.

‘2023년 IoT 테스트필드 구축과제’는 공간·인프라 등 실증자원을 보유한 ‘실증 수요기관’과 기술력 및 사업화 의지가 높은 ‘실증인프라 구축기업’이 컨소시엄을 구성하고 재난·안전 분야 현안을 해결하기 위해 최신 IoT 기술을 접목한 인프라·서비스 등을 구축하는 사업이다. IPA는 인천테크노파크, AIoT 및 디지털 트윈 분야 기술 전문성을 보유한 ㈜글로벌브릿지(대표 홍윤국), ㈜심시스글로벌(대표 김윤제)과 업무협약을 체결하고, ‘안전해(海)’ 구축 사업을 진행해 왔다.

IPA는 지난달 30일 인천항 국제여객부두에 △화물차 과속 단속 및 선박 이용객 위험 감지를 위한 인공지능형 CCTV △하역현장 작업자 안전관리를 위한 지능형 IoT 센서 △작업자와 장비 간 위험 감지를 위한 LiDAR 센서 등이 설치된 스마트폴과 △디지털 트윈 모델링 활용 재난·안전 통합 모니터링 시스템 구축을 완료하고 운영을 개시했다.

IPA에 따르면, 인공지능형 CCTV는 객체(차량·사람) 및 차량 번호판 인식률이 90% 이상, 작업자와 장비 간 충돌방지 시스템은 인식률이 95%에 달해 인천항 국제여객부두의 안전 사각지대를 최소화할 수 있을 것으로 기대된다.

IPA는 인천경제자유구역청, 인천테크노파크와 협력해 구축한 IoT 인프라를 내년부터 3년간 IoT 기업에 실증자원으로 제공하고 IoT 기업의 제품 및 서비스가 조기 상용화될 수 있도록 지원할 예정이다.

IPA 조충현 스마트항만실 실장은 “시스템을 운영하며 안전사고 예방율을 분석하고 세부 기능을 고도화해 인천항 의 항만 안전을 강화할 계획”이라며 “항만운영 효율성 제고를 위한 항만 관련 R&D를 지속적으로 발굴하겠다”고 말했다.

◆인천항 ‘스마트물류’ 거점된다…‘스마트 공동물류센터 입주’ 사업추진계약

인천항만공사(IPA, 사장 이경규)는 4일 오후 IPA 사옥(인천시 연수구 센트럴로 263)에서 IGFC(Incheon Global Fulfillment Center) 컨소시엄과 ‘전자상거래 특화구역 스마트 공동물류센터 입주’를 위한 사업추진계약을 체결했다고 밝혔다. IGFC 컨소시엄은 세중해운㈜(30%), 남성해운㈜(25%), ㈜우련티엘에스(25%), 아워박스㈜(20%) 총 4개사로 구성된 사업시행법인이다.

IPA는 스마트 공동물류센터 입주 우선협상대상자로 지난 8월 선정된 IGFC 컨소시엄과 총 5차례에 걸친 협상 끝에 △공동화주 물량 유치·처리 등 기본사항 △스마트물류센터 운영 및 입주자시설 투자조건 △사업실적평가 등 세부항목에 대한 합의 도출 결과를 총 36개 조항으로 정리해 사업추진계약서에 담았으며, IGFC 컨소시엄은 사업추진계약 체결을 통해 정식 입주대상기업으로 전환됐다.

IPA는 2025년 상반기 본 물류센터가 본격적으로 운영되면 연간 최대 1만 2627TEU의 신규 물동량이 발생하고 50명 이상의 고용 창출이 이뤄질 것으로 보고있다. 또한, IGFG 컨소시엄에 해상·육상물류 전문기업과 전자상거래 ICT 전문기업을 포함하고 있어 △안정적인 중소화주 확보가 가능하고, 그간의 스마트물류센터 운영 경험을 바탕으로 한 △End-to-End(풀필먼트 센터 등에서 최종 고객에게 제품을 인도하는 단계) 물류 △최첨단 자동화 풀필먼트 △Sea&Air 복합물류 서비스를 통해 인천항 물류시스템의 첨단화를 실현하고 고객가치 창출에 기여할 것으로 기대된다.

IPA가 공급하는 스마트 공동물류센터는 지상 3층 및 건축 연면적 1만 9085㎡ 규모로, IPA와 해양수산부가 총투자비 428억 원(국고보조금 120억 원, 자체예산 308억 원)을 투입했으며, 물류센터를 직접 확보할 수 없는 중소화주의 화물을 스마트 공동물류시설에서 처리해 물류비용 부담을 줄이는 지원 기능을 수행한다.

◆IPA, ‘중소 전자상거래·물류기업 경쟁력 향상’ 지원 박차

인천항만공사(IPA, 사장 이경규)는 지난 1일 오후 쉐라톤 그랜드 인천 호텔(인천광역시 연수구 컨벤시아대로 153)에서 ‘2023 스마트물류 포럼’을 개최하고 중소 전자상거래·물류기업을 대상으로 최신 물류 트렌드와 지원정책을 소개했다고 4일 밝혔다.

중소벤처기업부 주관, IPA·중소벤처기업진흥공단 공동 주최로 열린 ‘2023 스마트물류 포럼’은 올해 처음 개최됐으며, 전자상거래 중소벤처 물류기업의 경쟁력 향상과 스마트물류 보급을 위해 기획됐다.

이번 포럼에는 각 분야 전문가 및 물류기업 관계자 50여 명이 참석했으며, △항공물류 트렌드 및 중소기업 활용방안 △전자상거래 산업변화 추세와 일본·중국 해상물류 연계방안을 주제로 한 강연이 펼쳐졌다. 아울러 △ESG와 지속가능한 물류 △AI(인공지능)와 로봇이 바꾼 스마트한 물류센터 △중소벤처기업 물류 지원정책 등을 소개하고, 중소기업 물류애로 지원과제 좌담회를 열고 스마트물류에 대해 논의하는 시간을 가졌다.

이번 행사를 공동 주최한 IPA와 중소벤처기업진흥공단은 앞으로도 스마트물류 기술을 중소·중견기업에 소개하고, 해상물류발전을 위해 공동대응하며, 항만의 고효율화와 지속가능한 발전에 기여할 수 있도록 협력하기로 했다. 또한, 내년에는 해상물류발전을 위한 제도개선과 수출입 중소기업 직접지원을 위한 과제를 발굴하는 등 협업을 강화할 예정이다.

송현수 기자 songh@busan.com"
