연번,시도청,경찰서,관서명,구분,전화번호,주소,category,주소,location,lat,lng,img
1,서울청,서울중부,을지,지구대,02-2279-1908,서울특별시 중구  을지로 234,경찰서,서울특별시 중구  을지로 234,서울중부 을지지구대,37.5659094,126.9827821,police1
2,서울청,서울중부,광희,지구대,02-2233-1444,서울특별시 중구  퇴계로 375-1,경찰서,서울특별시 중구  퇴계로 375-1,서울중부 광희지구대,37.5652647,127.01334641305979,police2
3,서울청,서울중부,약수,지구대,02-2234-8112,"서울특별시 중구  동호로 5길 15, 약수지구대",경찰서,"서울특별시 중구  동호로 5길 15, 약수지구대",서울중부 약수지구대,37.5521442775352,127.0123820902,police3
4,서울청,서울중부,신당,파출소,02-2252-0435,"서울특별시 중구  다산로 248 (신당동, 신당파출소)",경찰서,서울특별시 중구  다산로 248 ,서울중부 신당파출소,37.5650442671787,127.01638496365,police4
5,서울청,서울중부,장충,파출소,02-2274-9003,서울특별시 중구  동호로 261,경찰서,서울특별시 중구  동호로 261,서울중부 장충파출소,37.5603991,127.002811,police5
6,서울청,서울중부,충무,파출소,02-2278-7710,서울특별시 중구  퇴계로 178,경찰서,서울특별시 중구  퇴계로 178,서울중부 충무파출소,37.5611814,126.9899434,police6
7,서울청,서울중부,을지로3가,파출소,02-2266-2404,서울특별시 중구 충무로56-1,경찰서,서울특별시 중구 충무로56-1,서울중부 을지로3가파출소,37.5661815238113,126.992848341729,police7
8,서울청,서울종로,종로2가,지구대,02-3701-4301,서울특별시 종로구  종로17길 4 종로2가파출소,경찰서,서울특별시 종로구  종로17길 4 종로2가파출소,서울종로 종로2가지구대,37.5705022157858,126.988922852655,police8
9,서울청,서울종로,관수,파출소,02-3701-4302,서울특별시 종로구  삼일대로 386,경찰서,서울특별시 종로구  삼일대로 386,서울종로 관수파출소,37.5702966,126.9878417,police9
10,서울청,서울종로,세검정,파출소,02-3701-4507,서울특별시 종로구  세검정로 226 ,경찰서,서울특별시 종로구  세검정로 226 ,서울종로 세검정파출소,37.6006292,126.9587664,police10
11,서울청,서울종로,평창,파출소,02-3701-4308,서울특별시 종로구  평창문화로 46,경찰서,서울특별시 종로구  평창문화로 46,서울종로 평창파출소,37.6115621,126.979947,police11
12,서울청,서울종로,삼청,파출소,02-3701-4303,서울특별시 종로구  삼청로 66,경찰서,서울특별시 종로구  삼청로 66,서울종로 삼청파출소,37.58136255,126.98114880803581,police12
13,서울청,서울종로,통의,파출소,02-3701-4304,서울특별시 종로구  효자로 9,경찰서,서울특별시 종로구  효자로 9,서울종로 통의파출소,37.5829919,126.9736714,police13
14,서울청,서울종로,청운,파출소,02-3701-4305,서울특별시 종로구  자하문로 92-1,경찰서,서울특별시 종로구  자하문로 92-1,서울종로 청운파출소,37.5832353,126.9720097,police14
15,서울청,서울종로,옥인,파출소,02-3701-4506,서울특별시 종로구  자하문로17길 24,경찰서,서울특별시 종로구  자하문로17길 24,서울종로 옥인파출소,37.5813626,126.9697781,police15
16,서울청,서울종로,교남,파출소,02-3701-4310,서울특별시 종로구  송월길 167(교북동 10-38),경찰서,서울특별시 종로구  송월길 167,서울종로 교남파출소,37.5723,126.9612,police16
17,서울청,서울종로,세종로,파출소,02-3701-4312,서울특별시 중구  세종대로 141,경찰서,서울특별시 중구  세종대로 141,서울종로 세종로파출소,37.5625502,126.9762805,police17
18,서울청,서울종로,신문로,파출소,02-3701-4311,서울특별시 종로구  경희궁길 6-3,경찰서,서울특별시 종로구  경희궁길 6-3,서울종로 신문로파출소,37.57072565,126.97220282388342,police18
19,서울청,서울종로,사직,파출소,02-3701-4309,서울특별시 종로구  사직로9길 1,경찰서,서울특별시 종로구  사직로9길 1,서울종로 사직파출소,37.576191449999996,126.96882915,police19
20,서울청,서울종로,청진,파출소,02-3701-4313,서울특별시 종로구  삼봉로 33 청진파출소,경찰서,서울특별시 종로구  삼봉로 33 청진파출소,서울종로 청진파출소,37.5725858,126.9790194328744,police20
21,서울청,서울남대문,태평로,파출소,02-2096-8471,서울특별시 중구  다동길 11,경찰서,서울특별시 중구  다동길 11,서울남대문 태평로파출소,37.5679325,126.9799967544752,police21
22,서울청,서울남대문,서울역,파출소,02-2096-8472,서울특별시 중구  통일로 13,경찰서,서울특별시 중구  통일로 13,서울남대문 서울역파출소,37.5656627,126.9668554,police22
23,서울청,서울남대문,명동,파출소,02-2096-8473,서울특별시 중구  명동길 30 명동파출소,경찰서,서울특별시 중구  명동길 30 명동파출소,서울남대문 명동파출소,37.5635895671109,126.983968494252,police23
24,서울청,서울남대문,남대문,파출소,02-2096-8474,서울특별시 중구  남대문시장4길 28-16,경찰서,서울특별시 중구  남대문시장4길 28-16,서울남대문 남대문파출소,37.558908,126.9772351,police24
25,서울청,서울남대문,중림,파출소,02-2096-8475,서울특별시 중구  중림로 36,경찰서,서울특별시 중구  중림로 36,서울남대문 중림파출소,37.559202,126.9652818,police25
26,서울청,서울남대문,회현,파출소,02-2096-8476,서울특별시 중구  퇴계로6길 3-10,경찰서,서울특별시 중구  퇴계로6길 3-10,서울남대문 회현파출소,37.5572539,126.9785719,police26
27,서울청,서울남대문,서소문,파출소,02-2096-8477,서울특별시 중구  서소문로 131-1 서소문파출소,경찰서,서울특별시 중구  서소문로 131-1 서소문파출소,서울남대문 서소문파출소,37.5638078,126.97540075828061,police27
