제목,기사 내용
"상주시, 남산근린공원 공중화장실 안심비상벨설치","[경상매일신문=김용묵기자] 상주시 남산근린공원에 있는 관리사무실 남산3 공중화장실(상주시 신봉동 산18-25)에 양방향 음성통화 비상벨을 설치했다. 공중화장실에 있는 비상벨은 범죄를 예방하고 사회적 약자에게 편의를 제공하며, 화장실 내에 있는 벨을 누르면 상주 경찰서 상황실에 연결돼 경찰의 도움을 받을 수 있다.특히 비상벨 시스템은 △안심 비상벨 표지판 △음성통화 호출 벨 △칸 내 비상벨 △경광등으로 이뤄져 있으며 비상시에 손쉽게 찾아 누를 수 있어 이용자에게 심적 안정감을 주는 장점이 있다.한편 실제로 화장실을 이용한 K모 시민은 ""비상벨의 설치를 보고 안전한 공원을 이용한다는 느낌을 받았다""고 말했다.상주시 도시과 성주헌 공원관리팀장은 “양방향 음성통화 비상벨은 공원 내에서 시민들의 안전과 편안한 이용에 크게 기여할것이다""라고 말했다."
"광주 서구 ""공중화장실 안심하고 사용하세요""","광주광역시 서구 관계자들이 주민, 경찰 등과 함께 관내 공중화장실 57개소에 대해 합동점검을 진행하고 있다. /광주 서구 제공

광주광역시 서구는 지난달 13일부터 30일까지 관내 공중화장실 57개소에 대해 주민·공무원·경찰 합동점검을 진행했다고 3일 밝혔다.

이번 점검은 불법촬영 여부 사전점검과 시설개선으로 디지털 성범죄 발생에 대한 위험요소를 사전에 차단하는 등 안전하고 쾌적한 공중화장실 조성을 위해 추진됐다.

특히 ▲비상벨 작동상태 점검 ▲112신고 시스템 POI(Point Of Interest)누락 여부 확인 ▲불법촬영카메라 설치여부 및 촬영 방지 안심스크린 적정설치 확인 ▲기타 창문, 잠금장치 및 구멍 등 위험요소 등을 점검했다.

이 외에도 서구는 분기별로 공중화장실 불법촬영 정기점검과 명절 연휴 대비 특별점검 등 지속적인 안전점검을 추진하고 있다. 또 상반기 관내 공중화장실 여자 칸 전체를 대상으로 불법촬영을 방지하기 위한 안심스크린(가림막)을 설치 완료하는 등 안심화장실 조성을 위해 다양한 노력을 펼치고 있다.

박종철 서구 기후환경과장은 “서구민과 서구를 찾는 모든 주민들이 불안감 없이 안전하게 화장실을 이용할 수 있도록 상시 점검체계 구축 및 성범죄 예방 시설물 설치를 지속적으로 추진하겠다”고 말했다. /박준호 기자 bjh@namdonews.com

※이 기사는 지역신문 발전기금을 지원받았습니다

"
"동대문구 ""폭염·한파 걱정없어요"" 버스정류장 스마트 쉼터 4곳 설치","▲ 스마트쉼터를 방문한 이필형 구청장(오른쪽)이 관계자에게 운영 설명을 듣고 있다.(사진=동대문구청 제공)

[시민일보 = 이대우 기자] 서울 동대문구(구청장 이필형)가 다양한 편의시설을 갖춘 스마트쉼터를 4곳에 설치하고 운영에 들어갔다.스마트쉼터 설치 장소는 ▲청량리역 광장 ▲청량리역 2번 출구 ▲동대문구청·용두역 3번 출구 ▲전농동 ‘지식의 꽃밭’이다.운영에 앞서 이필형 구청장은 청량리역 광장 스마트쉼터를 찾아 이용에 불편사항은 없는지 살폈다.스마트쉼터는 냉난방기, 공기살균기 및 공기정화장치 등이 설치되어 폭염, 한파에도 쾌적하게 대중교통을 이용할 수 있다.또한 이용자 편의를 위해 디지털 사이니지, 공공 와이파이, 휴대폰 유무선 충전기, 휠체어 우선 대기 공간 등이 마련되어 있다.디지털 사이니지는 버스·지하철 등 교통정보, 날씨 정보, 실시간 버스 도착 영상 및 구정·생활편의 등 각종 정보를 실시간으로 표출하는 전광판이다.스마트쉼터 내 모든 시스템은 정보통신기술(ICT)을 통해 구청에서 원격으로 제어할 수 있다. 외부에 설치된 폐쇄회로(CC)TV는 정류소에 접근하는 버스 영상을 실시간으로 보여주고, 내부에 설치된 CCTV와 비상벨은 CCTV 통합관제센터와 상황을 공유해 안전한 대중교통 이용 환경을 제공한다.이번 스마트쉼터 시범 설치·운영을 시작으로 구는 스마트쉼터 수를 점차 늘릴 계획이다.이필형 구청장은 “한파에도 주민들이 따뜻하고 쾌적한 환경에서 버스를 기다리며 잠시나마 쉬어갈 수 있기를 바란다”며 “앞으로도 대중교통 이용 불편을 덜 수 있도록 최선의 노력을 다하겠다”고 말했다.

[저작권자ⓒ 시민일보. 무단전재-재배포 금지]"
성남시의회 김종환 의원 “판교대장지구 버스정류장 내 CCTV‧비상벨설치로 ...,"경기도 성남시의회는 김종환 의원이 판교대장지구 도시개발 사업지역 치안 취약지역 해결을 위해 사업주체가 버스정류장 16개소 내에 CCTV와 비상벨을 설치한다고 알렸다고 3일 밝혔다.

이는 성남시 전체 약 1300개의 버스정류장 중 최초로 설치되는 사업이다. 시는 이달 내 착공 및 완공할 계획이다.

이번 CCTV 설치는 현재 대장동에 경찰 파출소 등 계획이 없고 지난 10월 23일 분당구 대장동 ○○마트 인근에서 발생한 불법 노출행위 사건 이후 주민들의 불안감 증가에 따른 주민 민원 해결 및 대책으로 김 의원이 성남도시개발공사와 협력한 우수한 사례이다.

CCTV 시스템은 이용객들이 비상벨을 누르면 성남시 스마트도시과 내 ‘생활안전 CCTV 상황실’과 연계되어 관할 경찰관서로 즉시 현장 출동 및 영상 확인이 가능하게 되었다.

김 의원은 “대장동 주민들 특히 학생들과 여성들의 불안감 해소에 도움이 되어 감사하다 ”며 “앞으로도 지역발전을 위해 더 노력하겠다”고 그 뜻을 전했다.

chun2112369@hanmail.net

저작권자 © 신아일보 무단전재 및 재배포 금지"
"상주 남산근린공원, 공중화장실비상벨설치","상주시는 남산근린공원에 있는 관리사무실 남산3 공중화장실(상주시 신봉동 산18-25)에 양방향 음성통화 비상벨을 설치했다. 공중화장실에 있는 비상벨은 범죄를 예방하고 사회적 약자에게 편의를 제공하며, 화장실 내에 있는 벨을 누르면 상주 경찰서 상황실에 연결되어 경찰의 도움을 받을 수 있다. 위 비상벨 시스템은 안심 비상벨 표지판, 음성통화 호출 벨, 칸 내 비상벨, 경광등으로 이루어져 있으며 비상시에 손쉽게 찾아 누를 수 있어 이용자에게 심적 안정감을 주는 장점이 있다. 실제로 화장실을 이용한 한 시민은 비상벨의 설치를 보고 안전한 공원을 이용한다는 느낌을 받았다고 표하기도 했다. 성주헌 공원관리팀장은 “양방향 음성통화 비상벨은 공원 내에서 시민들의 안전과 편안한 이용에 도움을 줄 것으로 보인다”고 했다."
혹한에도 따뜻하게… 동대문구 스마트쉼터 운영,"▲ 이필형(오른쪽) 동대문구청장이 30일 스마트쉼터 시설을 둘러보고 있다. 동대문구

서울 동대문구는 다양한 편의시설을 갖춘 스마트쉼터를 설치하고 1 일부터 운영한다고 밝혔다 .

이번 스마트쉼터 설치 장소는 △ 청량리역 광장 △ 청량리역 2 번 출구 △ 동대문구청 · 용두역 3 번 출구 △ 전농동 ‘ 지식의 꽃밭 ’ 이다 . 이필형 동대문구청장은 운영 전날인 지난달 30 일 청량리역 광장 스마트쉼터를 찾아 이용에 불편사항은 없는지 살폈다 .

스마트쉼터는 냉난방기 · 공기살균기 · 공기정화장치 등이 설치되어 폭염 , 한파에도 쾌적하게 대중교통을 이용할 수 있다 . 또한 이용자 편의를 위해 디지털 사이니지 · 공공 와이파이 · 휴대폰 유무선 충전기 · 휠체어 우선 대기 공간 등이 마련되어 있다 . 디지털 사이니지는 버스 · 지하철 등 교통정보 , 날씨 정보 , 실시간 버스 도착 영상 및 구정 · 생활편의 등 각종 정보를 실시간으로 표출하는 전광판이다 .

스마트쉼터 내 모든 시스템은 정보통신기술 (ICT) 을 통해 구청에서 원격으로 제어할 수 있다 . 외부에 설치된 CCTV 는 정류소에 접근하는 버스 영상을 실시간으로 보여주고 , 내부에 설치된 CCTV 와 비상벨은 CCTV 통합관제센터와 상황을 공유해 안전한 대중교통 이용 환경을 제공한다 .

이번 스마트쉼터 시범 설치 · 운영을 시작으로 구는 스마트쉼터 수를 점차 늘릴 계획이다 ."
"동대문구, 청량리역 광장 등 스마트쉼터 4곳 운영","clip20231203111851 0 이필형 동대문구청장이 지난달 30일 스마트쉼터에서 운영 설명을 듣고 있다. /동대문구

서울 동대문구는 다양한 편의시설을 갖춘 스마트쉼터 4곳을 설치·운영한다고 3일 밝혔다.이번 스마트쉼터 설치 장소는 △청량리역 광장 △청량리역 2번 출구 △동대문구청·용두역 3번 출구 △전농동 '지식의 꽃밭'이다.스마트쉼터는 냉난방기, 공기살균기, 공기정화장치 등이 설치돼 폭염이나 한파에도 쾌적하게 대중교통을 이용할 수 있다.이용자 편의를 위해 디지털 사이니지, 공공 와이파이, 휴대폰 유무선 충전기, 휠체어 우선 대기 공간 등도 마련됐다.스마트쉼터 내 모든 시스템은 정보통신기술(ICT)을 통해 구청에서 원격으로 제어할 수 있다. 외부에 설치된 폐쇄회로(CC)TV는 정류소에 접근하는 버스 영상을 실시간으로 보여주고, 내부에 설치된 CCTV와 비상벨은 CCTV 통합관제센터와 상황을 공유해 안전한 대중교통 이용 환경을 제공한다.이필형 동대문구청장은 ""한파에도 주민들이 따뜻하고 쾌적한 환경에서 버스를 기다리며 잠시나마 쉬어갈 수 있기를 바란다""며 ""앞으로도 대중교통 이용 불편을 덜 수 있도록 최선을 다하겠다""고 말했다."
"광주 서구, 57개 공중화장실 주민·경찰·공무원 합동점검","광주 서구는 안전하고 쾌적한 공중화장실 조성을 위해 지난달 13일부터 30일까지 관내 공중화장실 57개소에 대한 주민·공무원·경찰 합동점검을 실시했다. 광주 서구 제공 광주 서구는 안전하고 쾌적한 공중화장실 조성을 위해 지난달 13~30일 공중화장실 57개소에 주민·공무원·경찰 합동점검을 실시했다.



공중화장실이 안전하다는 인식제고와 함께 불법촬영 여부 사전점검 및 시설개선으로 디지털 성범죄 발생에 대한 위험요소를 사전에 차단하기 위해 진행됐다. 점검은 △비상벨 작동상태 △112신고 시스템 POI(Point Of Interest)누락 여부 △불법촬영카메라 설치여부 및 촬영 방지 안심스크린 적정설치 △기타 창문, 잠금장치 및 구멍 등 위험요소 등이다.



서구는 분기별로 공중화장실 불법촬영 정기점검 및 명절 연휴 대비 특별점검 등 지속적인 안전점검을 추진하고 있다. 올 상반기 공중화장실 여자칸 전체를 대상으로 불법촬영을 방지하기 위한 안심스크린(가림막)을 설치 완료하는 등 안심화장실 조성을 위해 노력을 펼치고 있다.



박종철 서구 기후환경과장은 “서구민과 서구를 찾는 주민들이 불안감 없이 안전하게 화장실을 이용할 수 있도록 상시 점검체계 구축 및 성범죄 예방 시설물 설치를 추진하겠다”고 말했다. 강주비 기자 jubi.kang@jnilbo.com 광주 서구는 안전하고 쾌적한 공중화장실 조성을 위해 지난달 13~30일 공중화장실 57개소에 주민·공무원·경찰 합동점검을 실시했다.공중화장실이 안전하다는 인식제고와 함께 불법촬영 여부 사전점검 및 시설개선으로 디지털 성범죄 발생에 대한 위험요소를 사전에 차단하기 위해 진행됐다. 점검은 △비상벨 작동상태 △112신고 시스템 POI(Point Of Interest)누락 여부 △불법촬영카메라 설치여부 및 촬영 방지 안심스크린 적정설치 △기타 창문, 잠금장치 및 구멍 등 위험요소 등이다.서구는 분기별로 공중화장실 불법촬영 정기점검 및 명절 연휴 대비 특별점검 등 지속적인 안전점검을 추진하고 있다. 올 상반기 공중화장실 여자칸 전체를 대상으로 불법촬영을 방지하기 위한 안심스크린(가림막)을 설치 완료하는 등 안심화장실 조성을 위해 노력을 펼치고 있다.박종철 서구 기후환경과장은 “서구민과 서구를 찾는 주민들이 불안감 없이 안전하게 화장실을 이용할 수 있도록 상시 점검체계 구축 및 성범죄 예방 시설물 설치를 추진하겠다”고 말했다."
"이상일, ""범죄와 재난 지역에안전시설물 더 확대할 것""","용인=에너지경제신문 송인호 기자





▲이상일 용인특례시장이 지난달 30일 수지구 풍덕천동을 찾아 풍덕천소공원에 설치한 생활안전 디자인을 적용 비상벨을 직접 작동해 보고 있다. 사진제공=용인시

이상일 용인특례시장은 지난달 30일 오후 ‘범죄예방·생활안전시설물 표준디자인(생활안전디자인)’이 적용된 시설물을 시범 설치한 수지구 풍덕천동을 찾아 설치 현황을 살펴보는 등 현장 점검을 했다.



이날 점검에는 안기승 용인소방서장, 이종길 용인서부경찰서장, 이형범 수지구청장, 장정순 시의원, 풍덕천1동 주민, 시 관계자 등 30여 명이 참여했다.



이 시장은 주민들과 함께 풍덕천소공원, 문정어린이공원, 문정중학교를 차례로 돌며 비상벨과 비상소화장치함, 안심귀갓길 표지판 등이 잘 설치됐는지 확인하고 이용에 불편함이나 어려움은 없는지 세심히 살폈다.



이 시장은 이어 풍덕천소공원에 설치된 비상벨을 눌러 작동에 문제가 없는지 확인하고 관제센터와 연락해서 앞으로 잘 운영해 달라고 당부했다.







이 시장은 또 비상소화장치도 살펴보면서 주변에 화재가 발생했을 때 주민이 쉽게 사용할 수 있는지 사용법을 직접 확인했다.



이 시장은 특히 학생들이 등하굣길로 이용하는 골목길에 조성한 안심 귀갓길 광고물 부착방지시트와 안내 사인은 어린이들이 더 잘 볼 수 있도록 눈높이에 맞게 높이를 조정하는 것이 좋겠다는 제안도 했다.



시는 올해 6억 9500만원의 예산을 들여 범죄와 안전사고 예방을 위해 ‘2023 생활안전을 더하는 공공디자인’ 사업을 시범 추진했다.



범죄예방 환경디자인(Crime Prevention Through Environmental Design, CPTED)을 바탕으로 지역 특성에 맞는 생활안전 디자인을 개발해 도시환경 개선에 적용하려는 취지다.



수지구 풍덕천동 727번지 일원, 처인구 유림동 481-8번지 일원, 신갈동 33-4번지 일원 등 3곳을 대상지로 선정했다.



이 세 곳은 상업지역과 주거지역이 섞여 있어 상습 불법 주·정차로 인한 문제가 빈번히 발생하는 데다 좁은 도로로 인한 안전사고 발생 우려가 있고, 화재가 발생할 경우 소방차 진입이 어렵다는 지적이 나왔기 때문이다.





▲이상일 용인특례시장의 현장 점검 모습 사진제공=용인시

시는 이런 환경을 개선하고 시민들이 위급한 상황에서 쉽게 도움을 청하고, 비상시 대처할 수단을 마련할 수 있도록 범죄예방·생활안전시설물 표준디자인을 개발했다.



표준디자인은 소방, 경찰, 범죄 예방 전문가의 기초조사와 시 공공디자인위원회 자문 등을 거쳐 확정했으며 제작·설치·교체·관리가 쉽도록 표준디자인 가이드라인을 마련해 일관되고 통일성 있는 디자인을 구현했고, 단순하면서도 눈에 잘 띈다는 것이 특징이다.



개발된 표준디자인은 비상벨 5종(폴형, 지주형, 벽면형, 화장실형, 안심존), 안심 귀갓길 영역 알림 정보 매채 3종(LED 안내사인, 노면 표기, 불법 광고물 부착 방지 시트, 스마트 젝터), 비상소화장치함, 쓰레기 분리수거함 등이다.



시는 지난달 17일 대상지 3곳에 총 비상벨 64개, 안심귀갓길 알림 정보매체 23개, 비상소화장치함 5개, 쓰레기분리수거함 4개, 건널목·산책로 도로 표지병 125개, 어린이 보호 펜스사인 115개 등의 시설물 설치를 완료했다.



이상일 용인특례시장은 ""깨진 유리창을 방치하면 범죄도 늘어난다는 ‘깨진 유리창 이론’이 있는데 환경을 디자인 등을 통해 개선하면 범죄 발생 가능성을 크게 줄일 수 있다는 판단에서 이런 사업을 추진했다""며 ""시민들이 보다 안심하고 생활할 수 있도록 범죄나 재난에 취약한 지역을 더 많이 찾아내서 생활안전 디자인과 관련된 시설물을 설치하겠다""고 말했다.

sih31@ekn.kr











"
"[포커스] 이민근 안산시장 ""365일 여성안전책임진다""","[안산=에너지경제신문 강근주 기자] 최근 여성을 대상으로 한 범죄나 피해자가 특정되지 않은 이상동기 범죄가 지속 발생함에 따라 여성-노년층 등 사회적 약자를 위한 안전정책과 범죄 예방을 위한 인프라 강화가 대두되고 있다.



시민안전 보호에 주력하는 안산시는 전국 최초로 안산형 시민안전 모델인 ‘이상동기범죄 대응 TF팀’을 꾸려 야간순찰활동은 물론 모의훈련을 실시하는 등 시민안전 토대를 보다 공고히 다져나가고 있다. 특히 언제 어디서나 24시간 여성안전을 지키기 위한 다양한 정책을 마련해 시행하고 있다.



안산시는 여성이 안심하고 생활할 수 있는 정주환경을 강화하는데 행정력을 모으고 있다. 이민근 안산시장은 1일 ""여성시민이 느끼는 안전에 대한 불안감과 우려를 불식시킬 수 있도록 민-관-경과 유기적이고 적극적인 협력체계를 기반으로 다양한 대책을 발굴하고 내실 있게 추진해나갈 것""이라고 강조했다.





▲안산시 통합관제센터 전경. 사진제공=안산시

▲안산시-단원경찰서-상록경찰서 가정폭력-성폭력 공동대응팀 운영. 사진제공=안산시

◆ 범죄예방도시 환경디자인 도입… ""폭력 없는 안전일상""



안산시는 법무부의 범죄예방 환경설계 컨설팅 결과를 바탕으로 범죄 발생 가능성이 상대적으로 높다고 판단된 공원 및 주택가에 안전 확보를 위한 보안등 설치, 방범시설물 확충을 위한 방범용 CCTV 추가 설치, 주거지 안전 강화를 위한 정보 제공 시트, 로고젝터, 바닥표지병 설치, 안심 귀갓길 포장 등 사업을 지속 추진하고 있다.







특히 외진 골목 곳곳을 대상으로 열악한 주거환경을 개선하고 범죄에 대한 심리적 불안감 해소를 위해 안산상록-단원경찰서와 협업해 범죄예방도시환경디자인 사업을 진행해 선부2동-와동 등 20개 마을에 안심 반사경 부착, LED 방범 비상벨 알림판 설치 등 여성 안전마을을 조성했다.



아울러 최근 늘어나는 여성 대상 범죄를 사전에 예방하고 안전한 일상을 돕기 위해 여성 1인 가구를 대상으로 스마트 초인종, 휴대용 비상 버튼, 문 열림 경보기, 창문 잠금장치 등 4종으로 이뤄진 안심물품을 무료로 지원하고 있다.



성범죄 없는 안전도시를 조성하기 위한 정책으로 아동, 청소년, 여성 등 범죄 취약계층에 시민, 경찰 등에 긴급구조 요청이 가능한 전자형 호루라기, 호신용 스프레이, 호신용 경보기 등을 배부해 심리적 불안감을 해소하고 있다.



이와 함께 ‘폭력없는 안산! 힙하게 예방’이란 슬로건 아래 성폭력, 성매매 등 4대 폭력 예방교육 및 캠페인을 시민을 대상으로 추진하고, 공중화장실 등 불법촬영을 근절하기 위해 성인지 전문 강사, 촘촘 안전망 서포터즈와 함께 불법촬영기기 설치 여부 점검, 불법촬영을 근절하기 위한 캠페인을 지속 실시해 촘촘한 사회안전망 구축을 강화했다.



이밖에 여성 안심 무인택배함 설치, 법무부-교육지원청-경찰서 등 다양한 기관이 참여하는 민관협의체 여성안전지역연대 운영, 가정 폭력-성폭력 공동대응팀 및 상담소 등을 내실 있게 운영해 여성 등 사회적 약자를 대상으로 하는 범죄예방 효과를 극대화했다.





▲안산시 CCTV 안전비상벨. 사진제공=안산시

▲안산시 안전보안등. 사진제공=안산시

▲안산시 안전시설물 다국어 안내판 설치. 사진제공=안산시

▲안산시 불법촬영 근절 캠페인. 사진제공=안산시

◆ ""범죄 꼼짝 마!…방범CCTV 통합관제센터가 보고 있다""



365일 24시간 일분일초도 빼놓지 않고 시민안전을 지키기 위해 망원경이 되어주고 있는 ‘방범 CCTV 통합관제센터’는 시민안전 해결사로서 범죄예방에 톡톡한 역할을 수행 중이다.



안산시 방범 CCTV 통합관제센터는 폐쇄회로(CC)TV 도합 7991대를 운영하고 있으며, 24시간 실시간 모니터링을 기반으로 각종 도난방지, 폭행, 음주운전, 청소년 계도 등 범행 정황 포착 시 신속하게 경찰에 통보해 범인검거에 혁혁한 공을 세우고 있다는 평가다.



특히 범죄예방 디자인 ‘셉테드 (CEPTED)기법’을 적용하고 있는 방범 CCTV는 비상벨이 함께 설치돼 있어 비상상황이 발생하면 버튼을 눌러 빠르게 대처할 수 있다는 장점이 있다.



아울러 CCTV 기둥에 노란색 시트지를 부착해 먼 거리나 야간에도 CCTV와 방범 비상벨을 손쉽게 식별할 수 있게 했다. 방범 비상벨을 통해 통합관제센터와 실시간으로 대화를 나눌 수 있고 이를 통해 주변 상황을 확인한 뒤 긴급 대처가 가능하다. 이를 통해 긴급 상황이 발생하면 경찰이 즉시 현장 출동해 골든타임 확보에 중요한 역할을 하고 있다.



스마트폰 여성안심귀가 서비스는 심야시간대 늦은 퇴근길이나 하굣길, 골목길 등 위험을 느낄 수 있는 시민이 스마트폰을 3회 이상 흔들면 위치정보가 미리 등록된 보호자와 통합관제센터 및 법무부 위치추적중앙관제센터와 연계돼 위기상황이라고 판단되는 즉시 경찰이 현장에 출동한다.



안산시 공중화장실 내 설치된 안심 비상벨은 128곳에 설치돼 있으며, 안심 비상벨은 여성과 아동이 위험이 감지됐을 때 해당 벨을 누름으로써 경찰서와 양방향 통화가 가능하다. 김은 여성가족과 팀장은 ""사물인터넷 기반의 비상경보 장치로 비상벨을 누를 수 없는 위급한 상황에서도 비명을 지름으로써 경찰서와 통화가 가능하다""고 설명했다.



이런 인프라 구축에는 범죄의심 영상을 즉시 경찰과 공유할 수 있는 ‘스마트시티 통합플랫폼’ 영향이 주효했다. 이는 경찰뿐만 아니라 소방 및 법무부 위치추적중앙관제센터 등과 방범 CCTV 영상을 실시간으로 공유, 각 기관의 빠른 상황판단과 대응을 도와 시민을 범죄 위험으로부터 보호하고 있다.





▲안산시 지급 1인가구 안심패키지. 사진제공=안산시

▲안산시 지급 호신용 스프레이. 사진제공=안산시

◆ 민-관-경 정례협의체 기반으로 범죄예방사업 강화



민선8기 안산시는 어린이, 여성, 노약자 등 일상생활 속 시민안전을 최우선으로 안전한 도시 만들기는 물론 범죄 취약계층의 귀갓길 안전망 확보를 위한 인프라 구축 사업을 지속 추진해나갈 계획이다.



특히 △안산시 스토킹 범죄예방 및 피해자 지원 조례 △안산시 여성안전 및 지원 조례 △디지털성범죄방지 및 피해지원 조례 등을 기반으로 예상치 못한 범죄 피해자의 법률 및 의료-심리 상담을 지원하고 있다.



안산시는 내년 여성 1인 가구 안심 패키지 지원, 지능형 CCTV 확대 설치, LED 방범 비상벨 확대 설치, 범죄예방 디자인 환경개선 등 안전사업을 지속 추진해 나간다. 이와 함께 안산상록-단원경찰서, 안산소방서 등 민-관-경 정례 협의체(‘일사천리’ 회의)를 기반으로 범죄예방 및 안전 관련 사업을 보다 활발히 추진해 나갈 방침이다.



이민근 시장은 ""시민안전 모델을 선도하는 지자체로서 안전 인프라를 더욱 단단하게 구축하고 제도개선을 기반으로 ‘시민이 안전한 민생안전도시’ 브랜드 확립을 위해 더욱 매진하겠다""고 역설했다.

kkjoo0912@ekn.kr



"
