Name,Artist,Key,BPM
ICN > YVR,BIG Naughty,C Major,170
Joka (Feat. Mommy Son),"Mad Clown, Mommy Son",B Major,103
Potential Breakup Song,Aly & AJ,F♯ Minor,158
Can't Wait,Hoody,G Minor,90
Your Breath,GB9,C Major,76
BETTER OFF (Feat. gamma) (Prod. EDDY),"unofficialboyy, gamma",E Minor,145
Whisper,SBGB,B♭ Major,139
I YA E YA (MBTI),Seen Hyun Hee,A Major,162
My Love Song,YeonJeong,G Major,132
Perfect Night (Holiday Remix),LE SSERAFIM,D Minor,134
Biscuit,Shakewell,B♭ Minor,116
작은 위로,손경화,A♭ Minor,94
Shining Heart,"Laurentiu Duta, Andreea Banica",B Minor,128
널 사랑하겠어,Seo Young Eun,D♭ Major,100
"당겨요, 바로 지금 Draw The Bow Right Now",cacophony,A Minor,104
On Fire,Lloyd Banks,A♭ Major,95
By Your Side,Rod Wave,A♭ Major,158
BLOODY (Feat. Microdot),"Kim Boa, Microdot",A♭ Major,93
That Person in Shinsadong,FTISLAND,F Major,156
"Red Light, Green Light",T1419,E Minor,160
In The Head,Kai,B♭ Major,172
OOTD,Dreamcatcher,B Major,79
Across the somewhere,Woo Yeon So,E Major,142
Intro session : Humanoid operational,cotoba,D Major,185
귀로,Naul,G Minor,108
L FOR LOVE - Acoustic Ver.,Aalia,B♭ Major,100
Request,이충주,A Minor,146
YANGYANG (Feat. Jambino),"kitsyojii, JAMBINO",G Major,130
The Secret Between Us,MeloMance,A♭ Major,92
Never Say Never (with Lainey Wilson),"Cole Swindell, Lainey Wilson",D♭ Major,120
ODD-VENTURE,MCND,C Major,93
Playground,LUN8wave,A♭ Major,142
용서 (feat. 샤톤),"박명호, ChaTone",D♭ Minor,132
Ghost in your dream,Oh Heejung,C Major,152
I (Feat. DAWN),Park Bom,F♯ Major,98
Lucky Rocky,ROCKY,D Minor,141
Head Spinners,PARKJIWOO,B Minor,141
Forbidden Midnight,iii,A Major,136
Alcohol-Free (English ver.),TWICE,B♭ Minor,150
Beep Beep I'm a Sheep,"LilDeuceDeuce, TomSka, Black Gryph0n",B Minor,126
"My love, crybaby","Son Tae jin, Shin Seong, Min Soo hyun",A Minor,134
Cheat Life (feat. punchnello)(prod. by GRAY),"eill, punchnello",D♭ Minor,102
B.I.Z.Z.Y,Bizzy,D Minor,70
롱디 (feat. 안녕하신가영),"Coffeeboy, Hello Ga-Young",D♭ Minor,123
Reasons,"Earth, Wind & Fire",E♭ Major,127
고민해결 Troubleshooting,Bokdajin,G Major,107
Holding you - instrumental,Kajin,D♭ Major,146
Ghost Writer,Priest,A Minor,126
낮과 밤 (LOVE ALL),"T-ARA, Shannon, 건지",D♭ Minor,88
Amnesia,La Santa Grifa,B Minor,113
Do You Love Me - Mono Single,The Contours,F Major,150
애호가의 호흡 (Lover's breath),Bu Young Lee,B♭ Major,123
Holding Tightly,Haepa,A♭ Major,106
Astronaut In The Ocean,Masked Wolf,E Minor,150
Lost,Frank Ocean,A♭ Major,123
Only,Choi Yuree,C Major,105
bury. (Feat. SOLE),"punchnello, SOLE",D Minor,110
너를 붙잡을 수 있을까,mim,G Major,132
GAVILÁN II,"Peso Pluma, Tito Double P",C Major,122
Over You,Daughtry,E♭ Major,156
Hate You,Jung Kook,D♭ Minor,125
Tieduprightnow,Parcels,F Minor,102
My Star,Kim Feel,F♯ Major,116
I will love you only until this winter,DOKO,G Major,142
두 글자만 지워지면 (If two letters are erased),Ha Yea Song,B Major,130
Drive,Incubus,E Minor,91
A Song For You,JOONIL JUNG,B Major,128
Changeless,"entoy, JustEddy, ilipp",B Major,194
Talk Money (Prod. Wiz World),"Swings, Nochang",A♭ Major,120
Roller coaster,EXO-SC,C Major,134
Open Your Eyes,STRFKR,B♭ Major,120
The Night You Didn't Choose,Lee O Neul,F♯ Major,127
Erase Your Social,Lil Uzi Vert,E♭ Major,140
나비야,자장가 동요,E♭ Major,202
I’m gonna love you x 2,Lemon City,B Major,112
Watch It Burn,Katastro,G Major,138
Changed Man,"Hosier, Evan L Lee",A♭ Major,124
Life Never Comes Again,6band,A♭ Major,78
Tipsy (Feat. Chu Seo Jun),"Loeyn, Chu Seo Jun",B♭ Minor,97
"여름밤에 우리 summer, night (feat. wave to earth)","Jeon Jin Hee, wave to earth",A♭ Major,128
It's okay,RYEOWOOK,B♭ Major,134
Record Player,"Daisy the Great, AJR",B Minor,74
Memory,Punch,D♭ Major,80
City Lights,Austin Farwell,E♭ Major,69
Because of U,Monsta X,A♭ Minor,112
Farewell again,임순영,F Minor,133
사랑한 적 있나요 (feat. 밈),"K. Flower, mim",D♭ Major,136
Fronting,SEVENTEEN,C Major,100
Longtime Love,SHIN JI,G Major,130
Room,JIHYO,D♭ Minor,160
REMIX RUMBLE,League of Legends,D♭ Major,100
알지 못하는 너에게,KIM DO HEE,G Major,134
As time goes by (feat. Lokid),"Goyo, Lokid",F♯ Major,136
I couldn’t even call you,KIM BO KYEONG (NEON),F♯ Major,135
Blue Ballad,"HoKø, Damien Fleau",A Major,110
Hit That Back,Dbo,C Major,140
Savior,Rise Against,F Minor,112
As It Was,Harry Styles,A♭ Major,88
헤이 산타! hey santa!,Western Kite,C Major,124
꽃잎이 내린다,2nd Moon,F Major,175
Hangang River Bridge,1DAY,G Major,90
Voyage,KIMSEJEONG,D Major,100
하루가 (feat. OLNL),"Cha Woo Joo, OLNL",B Minor,83
NNT! (Now is Not the Time),Kuk Nahyeon,C Major,170
Stop it,IGWI,C Major,145
The Last Month,kokyoungbin,B♭ Minor,132
파도,Un,E♭ Major,138
Something's Wrong with the Morning,Margo Guryan,F Major,90
You′re Still Beautiful,Han Dong Geun,D♭ Major,130
You're lovely,Yellow,A Major,114
또르르,Siyeoju,F Major,120
좋은 이별은 없다 (There is no good breakup),Jin Minho,B Major,130
Talk To Me Nice (feat. RUDALS),"RAUDI, RUDALS",F Minor,146
wOw (Feat. DAVII),"DLight, DAVII",G Major,172
What I want to say to you,Jung Yi Han,B Major,69
open,COLL!N,B Major,130
I don’t wanna sing without you,Hwang Karam,E♭ Major,130
Interaction,STARDAYS,D♭ Major,101
that’s why,SER!N,E Major,179
좋은 나라,이풀잎,D♭ Minor,170
Compass,The Neighbourhood,F Minor,110
돌멩이,마시따밴드,A♭ Major,139
DIE 4 YOU,DEAN,F♯ Minor,83
One More Night,Maroon 5,F Minor,93
I hate u,The Lime,C Major,136
I'll give you my heart,WGAG,C Major,78
we done - Inst.,Joo Hyunmin,G Major,120
deja vu,Olivia Rodrigo,A Major,181
I'll Pray For You,Kassy,E♭ Major,137
In My Room,Chance Peña,E Major,134
Being Loved,Out of Campus,G Minor,134
Paradise,Coldplay,F Major,140
이제야 알겠어,Son Hyunwoo,C Major,76
You can cry,Homemade recording,B♭ Major,129
"Break up, tomorrow",Park Min Gyu,G Major,124
Can′t you,Ko Youngbae,D♭ Major,61
OXOX,"Dutch Melrose, Lost Boy",D♭ Minor,86
Happy Christmas :(,Grass,F♯ Major,95
BLUSH (Feat. Babylon),"NARSHA, Babylon",E♭ Major,140
TO D…(MONE VER.),RYU MIN HEE,G Minor,120
Reason,Yountoven,B Major,66
사랑하나보다,nardis,D Major,86
Sun Shower,MOVNING,F Minor,92
좋아 좋아,Seo Young Eun,G Major,107
Austin (Feat. Ahn Byeong Woong),"kitsyojii, Ahn byeong woong",B♭ Minor,186
Crash at mine,Slowcity,A♭ Major,152
DONUT ! (feat. saera & YELL),"more, saera, YELL",D Minor,150
Why'd You Only Call Me When You're High?,Arctic Monkeys,D Major,92
Friend Zone (Prod.Moai) (feat. Lowkey Dali),"Felic, Lowkey Dali",G Major,103
Guitar (Prod. vyd),Jayd,E Minor,155
붉은 노을,Lee Moon Sae,E Major,125
