Release Date,Title,Artist Name,BPM
2022-06-24,FREE SMILE,Lee Hyori,115.041
2022-03-14,"Love, Maybe",SECRET NUMBER,171.97
2022-06-08,DOOMCHITA,SECRET NUMBER,144.844
2022-11-16,TAP,SECRET NUMBER,110.016
2022-07-12,Copycat,Apink CHOBOM,112.035
2022-07-12,Feel Something,Apink CHOBOM,95.05
2022-12-21,You are the inspiration (I will give you all reply),Apink CHOBOM,134.062
2022-07-12,Oscar,Apink CHOBOM,117.973
2022-12-21,You are the inspiration (I will give you all reply) - Instrumental,Apink CHOBOM,134.109
2022-03-31,Ascension,KINGDOM,172.071
2022-10-05,Long Live The King,KINGDOM,125.006
2022-07-07,#MOOD,MCND,125.969
2022-04-27,Creature,E'LAST,170.139
2022-04-27,Nightmare,E'LAST,124.884
2022-04-27,Shelter,E'LAST,95.023
2022-02-21,RUN2U,STAYC,129.943
2022-07-19,BEAUTIFUL MONSTER,STAYC,82.321
2022-02-21,YOUNG LUV,STAYC,129.905
2022-11-16,POPPY - Japanese Ver.,STAYC,126.001
2022-02-15,DARARI,TREASURE,84.955
2022-02-15,JIKJIN,TREASURE,130.077
2022-10-04,HELLO,TREASURE,135.015
2022-02-13,Starlight,TAEIL,111.961
2022-12-26,Happier,TAEIL,86.945
2022-02-13,Starlight (Inst.),TAEIL,111.998
2022-08-22,After LIKE,IVE,125.014
2022-04-05,LOVE DIVE,IVE,117.941
2022-05-13,Rock Bottom,Kevin Morby,93.548
2022-05-13,This Is A Photograph,Kevin Morby,124.011
2022-05-11,Fame,Ciipher,121.985
2022-05-11,Slam The Door,Ciipher,122.99
2022-05-11,Stay,Ciipher,99.989
2022-05-11,You,Ciipher,96.029
2022-05-11,On A Highway,Ciipher,145.051
2022-02-27,Holding hands or walking together.,Jukjae,71.222
2022-03-21,DAYDREAM,HIGHLIGHT,96.102
2022-11-07,Alone,HIGHLIGHT,115.008
2022-03-21,Night Fog,HIGHLIGHT,104.981
2022-05-16,Candy Sugar Pop,ASTRO,115.042
2022-04-24,With you,HA SUNG WOON,149.898
2022-04-24,With you - Instrumental,HA SUNG WOON,150.068
2022-08-24,FOCUS,HA SUNG WOON,116.998
2022-11-10,Hasid Ruhi,Mahmoud Al Turky,83.054
2022-11-23,Full Bloom,Ahn Ye Eun,123.213
2022-06-25,Burn Like A Star,Ahn Ye Eun,133.828
2022-05-10,Underwater,dosii,133.977
2022-03-25,Cê Não Tem Noção,Anselmo Ralph,83.548
2022-12-16,Tratar Bem,Anselmo Ralph,167.907
2022-01-21,Como Se Te Fosse Perder,Anselmo Ralph,135.949
2022-11-11,Dando Love,Anselmo Ralph,138.033
2022-10-07,Light The Sky [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],Rahma Riad,114.969
2022-07-19,اصعد للكمر,Rahma Riad,125.457
2022-05-26,Rastgele,Mustafa Ceceli,121.985
2022-06-23,Dayan,Mustafa Ceceli,91.007
2022-01-08,Salıncak,Mustafa Ceceli,97.006
2022-12-08,Sargı,Mustafa Ceceli,111.978
2022-12-30,Zaman,Mustafa Ceceli,150.03
2022-12-26,Time After Time,BoA,188.781
2022-11-22,Forgive Me,BoA,100.029
2022-12-26,The Cure,BoA,95.08
2022-01-12,Marvelous,MIRAE,124.981
2022-09-28,Drip N' Drop,MIRAE,126.988
2022-01-12,JUICE,MIRAE,113.956
2022-12-20,Snow Prince,MIRAE,126.988
2022-01-16,Make Me Happy,Whee In,104.055
2022-10-17,I Like You,N.Flying,200.035
2022-10-04,28 Reasons,SEULGI,121.995
2022-10-04,Anywhere But Home,SEULGI,117.051
2022-12-26,Hot & Cold,SEULGI,104.094
2022-10-04,"Bad Boy, Sad Girl",SEULGI,148.01
2022-10-04,Dead Man Runnin’,SEULGI,150.021
2022-10-04,Los Angeles,SEULGI,118.942
2022-10-04,Crown,SEULGI,86.015
2022-01-15,space,The Poles,73.015
2022-01-15,Strawberry Moon,The Poles,113.815
2022-01-15,Sun Shower,The Poles,103.609
2022-01-15,Find Me!,The Poles,147.986
2022-09-30,Hala,Era Istrefi,121.017
2022-11-10,5AM,Era Istrefi,108.088
2022-12-29,Idiot,Era Istrefi,102.99
2022-05-21,TKRKT,Era Istrefi,94.991
2022-04-01,BEBE,Era Istrefi,110.018
2022-06-27,BOOM,LEE MINHYUK (HUTA),96.068
2022-06-27,Dear My Spring,LEE MINHYUK (HUTA),98.018
2022-06-27,Is It Love?,LEE MINHYUK (HUTA),94.953
2022-06-27,Shadow,LEE MINHYUK (HUTA),147.961
2022-01-05,ATHLETIC GIRL,H1-KEY,109.923
2022-07-06,RUN,H1-KEY,99.449
2022-07-06,Heart Light,H1-KEY,130.006
2022-01-04,"Fire (With BRAND NEW CHILD, K L W C)",JEON SOYEON,114.952
2022-02-04,Как ты там,Kamazz,89.016
2022-08-05,FOREVER 1,Girls' Generation,123.915
2022-02-14,INVU,TAEYEON,106.962
2022-02-14,Weekend,TAEYEON,114.029
2022-02-14,Can't Control Myself,TAEYEON,85.044
2022-07-20,Strawberry Cake,Xdinary Heroes,199.943
2022-07-20,Test Me,Xdinary Heroes,166.026
2022-01-03,Step Back,GOT the beat,161.897
2022-04-28,Sober,DKB,139.959
2022-08-25,24/7,DKB,100.999
2022-02-23,GingaMingaYo (the strange world),Billlie,121.997
2022-08-31,RING ma Bell (what a wonderful world),Billlie,137.024
2022-08-31,B’rave ~ a song for Matilda,Billlie,130.019
2022-11-21,Groove Back,J.Y. Park,105.927
2022-09-26,Brand New,XIUMIN,129.994
2022-09-26,How We Do,XIUMIN,104.999
2022-09-26,Serenity,XIUMIN,174.039
2022-09-26,Feedback,XIUMIN,113.979
2022-03-16,HONEY,Solar,115.003
2022-01-04,"Bada Boom (With MISMOLLY, TURNS)",Solar,100.201
2022-03-16,RAW,Solar,140.165
2022-03-16,zinggle zinggle,Solar,171.973
2022-12-19,Ditto,NewJeans,133.854
2022-08-01,Hype Boy,NewJeans,99.976
2022-08-01,Attention,NewJeans,104.988
2022-03-30,"WIN - ""The God of HighSchool"" ED",CIX,100.889
2022-08-22,458,CIX,79.893
2022-08-22,Without You,CIX,125.988
2022-05-13,Phase Me,WOOSUNG,104.067
2022-05-13,Side Effects (feat. SATICA),WOOSUNG,113.01
2022-05-13,ComE dOWn,WOOSUNG,132.039
2022-05-13,Modern Life,WOOSUNG,77.015
2022-02-07,Elastic Love,Choi HEART,100.951
2022-08-20,Million,Choi HEART,119.978
2022-02-23,Elastic Love (Japanese ver.),Choi HEART,100.991
2022-12-30,HALAZIA,ATEEZ,171.915
2022-07-29,Guerrilla,ATEEZ,181.963
2022-07-29,Cyberpunk,ATEEZ,110.012
2022-01-12,Layin' Low (feat. Jooyoung),HYOLYN,126.126
2022-05-02,Sour Grapes,LE SSERAFIM,139.998
2022-10-17,Good Parts (when the quality is bad but I am),LE SSERAFIM,121.121
2022-10-17,No Celestial,LE SSERAFIM,138.028
2022-09-27,PARTY ROCK,CRAVITY,114.051
2022-03-22,Adrenaline,CRAVITY,115.05
2022-10-26,Birthday,TEN,191.769
2022-10-26,Birthday - Instrumental,TEN,191.96
2022-10-17,LUNCH,my little airport,67.94
2022-10-17,你把我的,my little airport,101.956
2022-10-24,Youth,KIHYUN,157.867
2022-03-15,VOYAGER,KIHYUN,121.989
2022-03-15,RAIN,KIHYUN,114.297
2022-03-15,", (COMMA)",KIHYUN,168.045
2022-10-24,Where Is This Love,KIHYUN,85.063
2022-10-24,STARDUST,KIHYUN,85.001
2022-10-24,Bad Liar,KIHYUN,86.064
2022-08-04,IS THIS LOVE,KIHYUN,119.914
2022-02-24,So Right (feat. Yuna),SHAUN,110.03
2022-11-07,nvrmnd,I.M,108.049
2022-09-19,TTFU,Simon Dominic,149.987
2022-05-06,First Class,Jack Harlow,107.005
2022-05-06,Nail Tech,Jack Harlow,150.127
2022-04-12,MAISON,Dreamcatcher,120.007
2022-10-11,VISION,Dreamcatcher,94.968
2022-12-05,Dear My Winter,george,84.96
2022-06-17,Everyday,george,155.825
2022-04-27,La Luna,ICHILLIN',77.016
2022-11-10,Draw,ICHILLIN',105.993
2022-04-27,Play Hide & Seek,ICHILLIN',146.989
2022-04-27,1+1,ICHILLIN',90.938
2022-03-21,Feel My Rhythm,Red Velvet,157.964
2022-07-31,Breath,Kim Na Young,126.998
2022-07-20,Nabillera,HyunA,187.83
2022-07-28,Pop? Pop!,CSR,122.03
