Title,Singer,Song_ID,Release_Date,Like_Count,Lyrics
Potential,FANTASY BOYS,36997110,2023.11.23,206,"입술 끝의 차가움
소란 뒤의 적막감
So sad that it’s like that
혼자 남은 듯한 그때
계속 희미해진 꿈
Turning pages into paper planes
끝이 없이 헤매인
네게 들려주는 Lulla-by
거울 속의 네 모습조차
완전히 낯설게만 느껴질 때
엉켜진 미로 끝에 선명한 빛에
눈부신 널 마주한 순간 어둠 걷혀가
I see your potential-ial-ial-ial
And I think it’s beautiful-iful-iful-iful
피어난 불꽃이 Light up
감았던 눈을 떠 fly up
I really see your potential-ial-ial-ial
Don’t stop ‘til you’re shining
(No more shine No more shine No more shine)
(No more shine No more shine No more shine)
Don’t stop ‘til you’re shining
(No more shine No more shine No more shine)
(No more shine No more shine No more shine)
Like that
You be the champ
You be the blank
빈칸을 틈 없이 채워 Whatever
텅 빈 맘 속 All Star
Riding your life like a chauffeur
Everybody got invisible gifts
두 눈앞에 현실이 될 promise
Keep digging deep for the diamond
Open your mind
Don’t stop ‘til you’re shine
널 관통한 낯선 불 빛에
눈부신 널 마주한 순간 어둠 걷혀가
I see your potential-ial-ial-ial (yeh OK)
And I think it’s beautiful-iful-iful-iful (Beautiful girl)
피어난 불꽃이 Light up
감았던 눈을 떠 fly up
I really see your potential-ial-ial-ial
Don’t stop ‘til you’re shining
(More shine More shine More shine)
(More shine More shine More shine)
Don’t stop ‘til you’re shining
(More shine More shine More shine)
(Get it get it now Get it get it now)
(More shine More shine More shine)
Ooh 긴 밤을 밀어낼 Sunrise
고갤 들어 One more time
Don’t stop don’t stop now
Don’t stop don’t stop now
진정한 너의 빛을 Light up higher
I see your potential-ial-ial-ial
And I think it’s beautiful-iful-iful-iful
번지는 불길 속 Light up
끝없이 올라가 Higher
I really see your potential-ial-ial-ial
Don’t stop ‘til you’re shining
(No more shine No more shine No more shine)
No more shine
(No more shine No more shine No more shine)
I see your potential I see your potential
(No more shine No more shine No more shine)
(No more shine No more shine No more shine
Like that
You be the champ
You be the blank"
Perfect Night (Holiday Remix),LE SSERAFIM (르세라핌),36995412,2023.11.23,"1,902","Me and my girlies
We gon party til its early
Got me feeling otherworldly tonight
Caught in some traffic
But the radio is blasting
Drop a red light and we’ll sing it goodbye


Ooh
By the morning, feel like magic


I got all I need you know nothing else can beat
The way that I feel when I’m dancing with my girls
Perfect energy yeah we flawless yeah we free
There’s no better feeling in the whole wide world

Tonight
I don’t care what’s wrong or right
Don’t start blowing up my line
I’d care at 11:59
But nothing counts after midnight


Come and take a ride with me
I got a credit card and some good company
Some come through
Make the fit real good
Why you still stuck on loading Waiting on you babe

Ooh
Night to morning, live slow motion

I got all I need you know nothing else can beat
The way that I feel when I’m dancing with my girls
Perfect energy yeah we flawless yeah we free
There’s no better feeling in the whole wide world

Tonight
I don’t care what’s wrong or right
Don’t start blowing up my line
I’d care at 11:59
But nothing counts after midnight


Ooh
By the morning, feel like magic


I got all I need you know nothing else can beat
The way that I feel when I’m dancing with my girls
Perfect energy yeah we flawless yeah we free
There’s no better feeling in the whole wide world

Tonight
I don't care what’s wrong or right
Don’t start blowing up my line
I’d care at 11:59
Don’t start blowing up my line"
Shining Heart,엔젤릭버스터,36995383,2023.11.23,91,"나를 향해 쏟아지는 시선을 
모두 모아 사랑으로 전할래 

멈춰 있던 나에게 
한걸음 다가와 건넨 네 서투른 위로 
그 순간 
(My heart melted! Sugar bubble popping!) 
뒤돌아 눈물 짓던 빛 바랜 기억 속에도 
환한 빛을 밝혀 어느새 화사하게 물들여 
 
반짝반짝 작은 별 내려와 
내 맘속에 가득히 빛나면 
너의 곁을 지켜주고 싶은 걸  

어디서든 나를 떠올리면  
눈 부시게 밝은 빛으로 
널 채울게 I’m your shining star 
 
You make me smile
You make me smile 저 별처럼 
너와 함께 날아오를 그랜드 피날레  
I wanna shine  
I wanna shine 내 맘 가득  
비춰 줄래 Spotlight 찬란히  
빛나는 너만의 (아이돌!) 
 
혼자이던 나에게 어느 날 쿵!
(하고선 나타나 Dress up! And cheer you up!) 
눈을 떼지 못할 걸 

마음속에 먹구름 피어나 
한걸음도 힘겨운 날이면
망설이지 말고 손 내밀어줘 

어디서든 나를 볼 수 있게 
눈 부시게 밝은 빛으로 
널 비출게 I’m your shining star

You make me smile
You make me smile 저 별처럼 
너와 함께 날아오를 그랜드 피날레  
I wanna shine  
I wanna shine 내 맘 가득  
비춰 줄래 Spotlight 찬란히  
빛나는 너만의 (아이돌!) 

무대 뒤엔 어둠 찾아오면  
짙어 질수록 더 선명해질 나의 여정에 
How can I shine? How can I fly?  
끝이 없는 길을 걷더라도   
Keep on dreaming 그조차 빛날 거야  

I’m your Daydream  
속삭여줘 Exclusive Spell 
만나게 될 걸 Pink Bubble Star 
손을 잡고 Fly Away   

You make me smile
너와 함께 날아오를 그랜드 피날레  
I wanna shine  
I wanna shine 내 맘 가득  
비춰 줄래 Spotlight 찬란한
너의 눈동자 그 속에 비친 너의 shining star"
널 사랑하겠어,에이민,36993325,2023.11.23,72,"내 뜨거운 입술이 너의 부드러운 입술에 닿길 원해
내 사랑이 너의 가슴에 전해지도록
아직도 나의 마음을 모르고 있었다 면은
이 세상 그 누구보다 널 사랑하겠어
널 사랑하겠어 언제까지나
널 사랑하겠어 지금 이 순간처럼
이 세상 그 누구보다 널 사랑하겠어
어려운 얘기로 너의 호기심을 자극할 수도 있어
그 흔한 유희로 이 밤을 보낼 수도 있어
하지만 나의 마음을 이제는 알아줬으면 해
이 세상 그 누구보다 널 사랑하겠어
널 사랑하겠어 언제까지나
널 사랑하겠어 지금 이 순간처럼
이 세상 그 누구보다 널 사랑하겠어

널 사랑하겠어 언제까지나
널 사랑하겠어 지금 이 순간처럼
이 세상 그 누구보다 널 사랑하겠어
널 사랑하겠어 언제까지나
널 사랑하겠어 지금 이 순간처럼
이 세상 그 누구보다
널 사랑하겠어"
ODD-VENTURE,MCND,36989352,2023.11.22,130,"Come on, ey

달려 clip-clop
찍어봐 굽굽굽
Scream and shout
더 거칠게 groove groove groove

해를 지고 달려가
넓은 바다로
Ey, 우리 다운 다운 다운
Style로 hit the Spot
Don’t give up Every day 허탕 친 대도
만들어가지 성공을 쓰린 실패도

Sunrise Sunset No pain No gain
Always rollin’
young & wild & free

Ay Hey Hey Ya
Go ahead Go ahead
young & wild & free

길을 잃는대도 상관없어 난
알 수 없는 거친 폭풍 속에 나를 던져 go

달려 clip-clop
찍어봐 굽굽굽
Scream and shout
더 거칠게 groove groove groove

가로막힌 벽, 저 너머를 탐해 외쳐
Can you hear me?
한계는 없어 this is O.D.D. adventure

We go,
Bang! Crash! 쳐부숴버려 Wall
그 무엇이 감히 내 앞을 막으리오
Bang! Crash! 쳐부숴버려 Wall
Turn things around things around my 시나리오

Hey Yeah! Mic 집어 들어
뱉은 말 타고 가 천 리 까지도 (이랴)
I don’t care 너희들 Eyes
Recognize 나의 Vibe 이건 다이아몬드

Giddy giddy giddy giddy up
제껴 가뿐히 (Vroom)
Clippity-clop 태생부터 다르게 (Skrtt)

Yeah yeah yeah
얼어붙어 다 don’t move freeze
길을 잃는대도 상관없어 난
알 수 없는 거친 폭풍 속에 나를 던져 go

달려 clip-clop
찍어봐 굽굽굽
Scream and shout
더 거칠게 groove groove groove

가로막힌 벽, 저 너머를 탐해 외쳐
Can you hear me?
한계는 없어 this is O.D.D. adventure

아무것도 없어 now
바람도 파도도
공허한 텅 빈 소리
두렵지만 괜찮아
끝이 없는 바다 위 찾아 나가
I just gotta break free

달려 clip-clop
찍어봐 굽굽굽
Scream and shout
더 거칠게 groove groove groove

달려 clip-clop
찍어봐 굽굽굽
Scream and shout
더 거칠게 groove groove groove

We go,
Bang! Crash! 쳐부숴버려 Wall
그 무엇이 감히 내 앞을 막으리오
Bang! Crash! 쳐부숴버려 Wall
Turn things around things around my 시나리오

Boom Clap 발을 굴러 Bam
손 머리 위로 kick it
Runin to the to the sky
Boom Clap 발을 굴러 Bam
바다 속을 뒤집어 now like a tiger shark"
여기 붙어라 (Playground),LUN8wave(루네이브),36989010,2023.11.22,257,"어디 가지 말고 여기 여기 붙어라
딴짓하지 말고 여기 모두 모여라
굳이 눈치코치 볼 필욘 없으니까
어디 어디 여기 여기 붙어라

Ey, I got the nikes on my feet, they so dope
걱정 없었던 날들 It’s been so long
Oh my god, It sounds like a bop, you’re gonna love
Oh my god, I got the one-way tickets, let’s go
하늘 위로 Fly up some more
낭만 넘치는 곳으로
모든 걸 다 원해 난
We can be the fools
Move it like this
I don’t wanna think more
네가 원한다면 Go
달리자고 That way

오늘 할 일은 내일로 미뤄두자
가끔은 생각하지 않는 게 진짜 정답이니까

어디 가지 말고 여기 여기 붙어라
딴짓하지 말고 여기 모두 모여라
굳이 눈치코치 볼 필욘 없으니까
어디 어디 여기 여기 붙어라

Yeah yeah Making’ you dance yeah yeah
다 같이 Get away
걱정은 멀리 날려 벌써 새벽 두 시 No way
Tik Tok에다 올려 If you really like it
이 밤이 간다 해도 Think I don’t want to go babe
We can dance some more
Till we see the sunrise
네가 원한다면 조금만 더 Stay
지금 이 순간 마치 Musical
더 무대 위로 Hm yeah
여기는 우릴 위한 Remedy

오늘 할 일은 내일로 미뤄두자
가끔은 생각하지 않는 게 진짜 정답이니까

어디 가지 말고 여기 여기 붙어라
딴짓하지 말고 여기 모두 모여라
굳이 눈치코치 볼 필욘 없으니까
어디 어디 여기 여기 붙어라

최대한 인사는 간단하게
안녕 헬로 오하요로 통일해
지금 이 시간이 너무 아까우니까
밤새 같이 놀 사람은 Hurry up now

어디 가지 말고 여기 여기 붙어라
딴짓하지 말고 여기 모두 모여라
굳이 눈치코치 볼 필욘 없으니까
어디 어디 여기 여기 붙어라

Drop it one the one 더 템포 높여 Turn it up
정말 더 원한다면 Show me that you really want
몰래 또 빼지 말고 달려와 줘 Right now
어디 어디 여기 여기 붙어라"
Lucky Rocky,ROCKY,36989393,2023.11.22,656,"Let me introduce myself
I love dancing
Oh na na na na na
I like to sing
Everybody shout my name oh
Lucky rocky lucky rocky woo
Oh na na na na na
Lucky rocky lucky rocky woo
Let's go shout it out
(Oh rocky)
I want to make people move
이 음악에 step을 밟아 like that
걸친 옷도 없이 더워
We like it hot better
Ah oh it's the rocky groove
이미 빠져들어 shake it like that
아직까지 뭐해 why not
Let me introduce myself
I love dancing
Oh na na na na na
I like to sing
Everybody shout my name oh
Lucky rocky lucky rocky woo
Oh na na na na na
Lucky rocky lucky rocky woo
Let's go shout it out
(Oh rocky)
You did a great job (great job)
우린 밤새 춤춰 (춤춰) 불태워 (oh oh)
어떤 장르든 좋아 (좋아)
Manners maketh man (oh gentleman)
여러 가지 감정들 네 안에 숨 쉬던
모두 꺼내봐 스트레스 날려 버려 babe
왜 아직도 멍 때려 너
I love dancing
Oh na na na na na
I like to sing
Everybody shout my name oh
Lucky rocky lucky rocky woo
Oh na na na na na
Lucky rocky lucky rocky woo
Let's go shout it out
(Oh rocky)
Oh oh oh oh oh oh oh
Oh oh oh oh oh oh oh oh
Oh oh oh oh oh oh oh
Oh oh oh oh oh oh oh oh
Oh oh oh oh oh oh oh
Oh oh oh oh oh oh oh oh
Oh oh oh oh oh oh oh
Oh oh oh oh oh oh oh oh"
Forbidden Midnight,iii(아이아이아이),36988999,2023.11.22,82,"Make a Make a change

부서지는 starlight
어둠 속에 든 midnight
달이 차는 순간
꿈에서 깰 거야

Tick tock, Time is over
쇠락한 illusion
오늘이 지나면
다 사라질 거야

Oh, yeah
Woo, forbidden my world
한 발도 들이지마
호기심은 making you cry
달빛도 숨죽인 밤

째깍째깍 소리에
불 켜진 작은 성
열두 시가 되면 Shut down
문을 닫는다

검붉은 빛 심장에
피어난 작은 성
열두 시가 되면 Shut down
문을 닫는다

La La La La La
La La La La La
Forbidden Midnight

La La La La La
La La La La La
문을 닫는다

달콤한 Delusion
들이켜 that potions
눈을 뜨는 순간
꿈에서 깰 거야

When the ground is shakin’
삐뚤어진 dreaming
뒤섞인 모든 것이
Swirling hypnosis

Oh -
Woo, forbidden my world
한 줌도 놀라지마
자, 시간이 다 됐잖아
별빛이 부서진 밤

째깍째깍 소리에
불 켜진 작은 성
열두 시가 되면 Shut down
문을 닫는다

검붉은 빛 심장에
피어난 작은 성
열두 시가 되면 Shut down
문을 닫는다

(oh, you can't come in, Back)
La La La La La
La La La La La
Forbidden Midnight
(oh, you can't come in, Back)

La La La La La
La La La La La
문을 닫는다

금지된 모든 걸 감춘 night
Let it flow 다음 all over me
Raise me up to the sky again
Rinding your fantasy so
I will make a change
Make a change
Make a change
Make a change
Make a change
Make a change
Make a change
Make a change

Make a change
Make a change
Make a change
Make a change
Make a change

성벽 넘어 들리는
La La La La La La
호기심은 make you cry
La La La La La La
기억들을 지운 채
La La La La La La

열두 시가 되면 Shut down
문을 닫는다

La La La La La
La La La La La
Make a Make a change
La La La La La
La La La La La
Forbidden Midnight"
Alcohol-Free (English ver.),TWICE (트와이스),36990186,2023.11.22,251,"Every time I get a taste
There’s a magical reaction
A little smile on my face
I don’t understand what’s happening

Did you put a spell on me?
Just a look to make me yours
All my problems float away
I ride the wave of letting go
I don’t even need no sleep
When every minute, I fall deeper in this love

What are you doing to me?!

Boy, you got me drunk on a feeling
But I ain’t, ain’t drinking nothing
Point zero zero proof got me tripping
Rollin’ alcohol-free, but I’m buzzin’

I ain’t even had drop of no champagne, no wine
No tequila, margarita
Mojito with lime
No mimosa, piña colada
I’m drunk on you
I’m drunk on you

When the stars come out at day
I know something’s in the water, yeah
You’re going straight to my head
Got my problems feeling smaller

Did you put a spell on me
Just a look to make me yours
All my problems float away
I ride the wave of letting go
I don’t even need no sleep
When every minute, I fall deeper in your love

What are you doing to me?!

Boy, you got me drunk on a feeling
But I ain’t, ain’t drinking nothing
Point zero zero proof got me tripping
Rollin’ alcohol-free, but I’m buzzin’

Yo
I coulda sworn I’m drinking zero point zero
But now we partying like Rio De Janeiro
I could prolly go to bed and sleep it off
But I can’t seem to ever get enough
D to the R-U-N-K
Off of a ya kiss like rum, babe
Come on, get a bit closer to me honey
You make my whole bright and sunny

Boy, you got me drunk on a feeling
But I ain’t, ain’t drinking nothing
Point zero zero proof got me tripping
Rollin’ alcohol-free, but I’m buzzin’

I ain’t even had drop of no champagne, no wine
No tequila, margarita
Mojito with lime
No mimosa, piña colada
I’m drunk on you
I’m drunk on you"
BEEP BEEP,Jessica (제시카),36988513,2023.11.22,346,"Tonight I can waste some time
Let me blow your mind
Oh can we do what lovers do
Oh I’m blurring all the lines
Got you hypnotized
Oh can we do what lovers do
You don’t wanna waste time
Better grab hold of my waistline
Let’s move to the baseline

Oh the rumors all over town
You checkin’ me out
You gotta do better boo
Come and show me what you’re about
If you wanna get down
All I see is you

Beep Beep
All the way across the room
Beep Beep
I can tell you’re in the mood
Beep Beep
Ah
You in deep
Now
Beep Beep
Don’t know why you play it shy
Don’t Sleep
Maybe you can be the one
Come and get it come and get it get it

I can see you got a thing for me
Matter fact boy you really got it bad for me
Don’t cha oh but you take it slow
Wait a little longer and you overflow
Can’t hide it, can’t fight it
So come on lets get it started now
I’m ready now

Oh cuz the rumors all over town
You checkin’ me out
You gotta do better boo
Come and show me what you’re about
If you wanna get down
All I see is you

Beep Beep
All the way across the room
Beep Beep
I can tell you’re in the mood
Beep Beep
Ah
You in deep
Now
Beep Beep
Don’t know why you play it shy
Don’t Sleep
Maybe you can be the one
Come and get it come and get it get it

Don’t be a liar
You can’t stop the fire
It’s burning bright in your eyes
Flames getting higher
You can’t fight desire
There’s nowhere to hide

Oh boy the rumors all over town
You checkin’ me out
You gotta do better boo
Come and show me what you’re about
If you wanna get down
All I see is you

Beep Beep
All the way across the room
Beep Beep
I can tell you’re in the mood
Beep Beep
Ah
You in deep
Now
Beep Beep
Don’t know why you play it shy
Don’t Sleep
Maybe you can be the one
Come and get it come and get it get it"
