Title,Singer,Song_ID,Release_Date,Like_Count,lyrics,Album,Genre
Tell Me That You Want Me,윈썸 (Winsome),36677046,2023.08.04,17,"널 생각하면 더 하얘져
내 두볼은 더욱 빨개져 (Do You Know)
많은 사람들속에서 너를 찾는건
쉬운일이야 (Look At Me)
짜릿한 (니 느낌을 원해)
달콤한 (니 사랑을 원해)
빛나는 (니 눈빛을 원해)
내게 보여줘!
Yeah! 우리만의 Stage
Oh! 내게 말해줘
Come Come Into My Heart
Come Come Into My Heart
눈에 담길 원해
너에게 들릴까 너에게 닿을까
너도 날 보고 있을까
멈추고 싶지 않아 내 마음
I Want you
You Still Here
In My Heart
Tell Me That You Want Me
I Feel You
You Still Here
In My Heart
Tell Me That You Want Me
Hey! 내가 궁금해
Oh! 짜릿 짜릿해
Yeah! 내게 다가와
Tell Me That You Want Me
Hey! 꿈을 꾸게해
Oh! 반짝 반짝해
Yeah! 너를 보여줘!
Tell Me That You Want Me
상상하지 못했어
더 빠져드는 걸
말로 설명 못했어
더 묘해 지는 걸
Yeah! 우리만의 Stage
Oh! 내게 말해줘
Come Come Into My Heart
Come Come Into My Heart
눈에 담길 원해
너에게 들릴까 너에게 닿을까
너도 날 보고 있을까
멈추고 싶지 않아 내 마음
I Want you
You Still Here
In My Heart
Tell Me That You Want Me
I Feel You
You Still Here
In My Heart
Tell Me That You Want Me
Hey! 내가 궁금해
Oh! 짜릿 짜릿해
Yeah! 내게 다가와
Tell Me That You Want Me
Hey! 꿈을 꾸게해
Oh! 반짝 반짝해
Yeah! 너를 보여줘!
Tell Me That You Want Me
Ah 널 담을수 있게
내게 들려줘
내게 보여줘
내게 말해줘
사랑한다고
I Want you
You Still Here
In My Heart
Tell Me That You Want Me
I Feel You
You Still Here
In My Heart
Tell Me That You Want Me
Hey! 내가 궁금해
Oh! 짜릿 짜릿해
Yeah! 내게 다가와
Tell Me That You Want Me
Hey! 꿈을 꾸게해
Oh! 반짝 반짝해
Yeah! 너를 보여줘!
Tell Me That You Want Me",Tell Me That You Want Me,댄스
Crush On You,UPTOYOU,36676523,2023.08.04,23,"Da da da da da da da da
Da da da da da da da da
Da da da da da da da da
Da da da da
자 모두 날 봐 alright
다 보여줄게 now
oh 기다렸던 tonight
들려줄게 now
내가 네 앞에 선 순간
두근대는 심장
you don’t have to wait oh
(사랑하게 될 거야)
어서 내 세계로 들어와
기다리고 있어 나
달콤한 melody
널 위한 celebrate
설레이는 기분
바로 지금
say one two three
one step and two step
you don’t have wait oh baby oh yeah
여긴 온통 다
너와 나 뿐이야
너의 진심을 보여줘 (show me now) nah
Crush on you
네 맘을 훔치러 갈래
baby baby 다가가 ye
take it take it 가져가
Up to you
네 맘을 내게 보여줘
baby baby 다가와 ye
I wanna I wanna feel you now
Every day every night
빠져드는 너와 나
선명하게
wanna feel you now
every day every night
깊어지는 너와 나
강렬하게
I wanna I wanna feel you now
Da da da da da da da da
Da da da da da da da da
Da da da da da da da da
I just wanna feel you now
네 눈빛에 나는 beat해
처음부터 네게 빠진 듯해 aye
뛰고 있어 많이 많이
얼어 있던 내 심장이
ok 찾아봐 네 곁에
언제부터 내가 있었는지
(wanna feel you now)
여긴 온통 다
우리 둘 뿐이야
너의 진심을 들려줘 (tell me now) nah
Crush on you
네 맘을 훔치러 갈래
baby baby 다가가 ye
take it take it 가져가
Up to you
네 맘을 내게 보여줘
baby baby 다가와 ye
I wanna I wanna feel you now
너무 오래 기다려 온 지금
간절하게 듣고 싶었던 그 이름
자신 있게 말해 줄래
망설이지 마
say that you love me
every day every night
빠져드는 너와 나
Crush on you
네 맘을 훔치러 갈래
baby baby 다가가 ye
take it take it 가져가
Up to you
네 맘을 내게 보여줘
baby baby 다가와 ye
I wanna I wanna feel you now
Every day every night
빠져드는 너와 나
선명하게
wanna feel you now
every day every night
깊어지는 너와 나
강렬하게
I wanna I wanna feel you now
Da da da da da da da da
Da da da da da da da da
Da da da da da da da da
I just wanna feel you now",Crush On You,댄스
I just want to say that,이유리(Y.R),36676302,2023.08.04,8,"Have you ever walked alone
On a night with a shining moon
Like a ball
그걸 When I saw
소원을 빌어
Looked at my phone
없어 아무것도
After
A day
Two weeks and
Three years
한때와 다를 것 없이
Work hard of my real life
그날 밤 내 귀에 울리는 Sound
기다리던 너의 말
잘 지냈어?
그 네 글자에
난 얼어붙었어
왜냐하면 I still um um 하니까 Know?
(You know?)
그때 네가 해줬던 말 기억해
In my head 빙빙 돌아
I say
I fell into the clouds
나와 함께하지 않을래
You slide from my heart
이 말이 하고 싶어서
잊을만하면
돌아온 달
It was like you
(I want you)
I just want to say that
I need you
몇 날 며칠을
수시로 폰을 껐다 켰다
반복했었어
오는 알람 혹시 너일까 봐
I contact my eyes off you
땜에 들킨 적도 있어
Another 나의 face
근데 너만 모르니 답답해
한순간에 달라 보였던
One day가
너만을 원하는 날로
그래서 내가 너에게
자존심 버리고
기꺼이 해주는 말
이걸로 우리
운명이 갈린다면
새롭게 쓰고 걸어가자
I'm sending you a text
솔직하게
I fell into the clouds
나와 함께하지 않을래
You slide from my heart
이 말이 하고 싶어서
잊을만하면
돌아온 달
It was like you
(I want you)
I just want to say that
I need you
I fell into the clouds
나와 함께하지 않을래라는
말은 사실 멀리 돌아가는 거고
난 구름 위를 걷는 기분보다
널 껴안고 느끼고 싶어
Pick me
Choose me
Love me
I say
I fall in love with you
나와 만나보지 않을래
You slide from my heart
이 말이 하고 싶었어
잊을만하면
돌아온 달
It was like you
(I miss you)
I just want to say that
I LOVE YOU",편지,댄스
Luck to XX (행복을 빌어),베다 (VEDA),36676282,2023.08.04,9,"가슴이 좀 아파
네가 우는 걸 봐
아무렇지 않은 척해봐도 안돼
난 whoo
Because I love you
다가갈 수도
위로조차도
할 수 없어 그저
바라만 보는게
더 맘이 아파
난 좀 슬퍼져
이유 없이 정해진 어느 날
너를 마주치고 좋아진 거야
전하지 않으면 모를 말들을 하고 싶어
다 상관없어져 네가
날 잘 모른대도
I love you
네가 좋은데
뭐 그러면 어때
내가 살아가는 날에
너의 행복을 빌어
행운을 빌어
나 너를 위해 몇 없는 방법 다 털었는데
널 사랑한다 전하기가 쉽지않아
뭐 굴하지는 않아
과거는 back back
앞날이 more
아침마다 널널
부정은 뺴빼
웃는 날이 더 많길 바라
없는거야 bad bad
그런 day day
이유 없이 정해진 어느 날
너를 마주치고 좋아진 거야
전하지 않으면 모를 말들을 하고 싶어
다 상관없어져 네가
날 잘 모른대도
I love you
네가 좋은데
뭐 그러면 어때
내가 살아가는 날에
너의 행복을 빌어
행운을 빌어
길을 잃었다가 한참을 헤메다 만났어 널
더 외면하진 않아 through the way
많은 빛을 지나 through the way
사소하게 fallin fallin
거창한 건 모두 get away get away
난 너에게 그냥 fallin fallin
whoo
다 상관없어져 네가
날 잘 모른대도
I love you
네가 좋은데
뭐 그러면 어때
내가 살아가는 날에
너의 행복을 빌어
행운을 빌어",To. XX,댄스
Dreamy day,어쩌다 아이,36676229,2023.08.04,11,"Wake up
저 시원한 바람을 타고 With me
아무걱정 없이 떠나자 go
Why not? 저 따사로운 태양아래
너와 나 둘이서만 갈래
더 망설일 시간은 없는걸 조금 더 빨리
( Come to me this moment )
더 밝게 빛날 우리의 순간
멈출 수 없어
( oh na na na )
Ha ha ha higher 저 하늘을 날아서
더 더 더 크게 외쳐 umm like this
더 더 더 크게 몰아치는 파도와
우 우 우리 A Dreamy day with you
긴장해 단 둘만의
살짝 비치는 태양빛 holiday
조금더 Hurry up 나에게 망설일 시간은 없다고 말해줘
저 태양 아래 펼쳐진 곳 우리는 누구보다 빛나
걱정은 Throw it away 내가 바라는 건 그저 이 순간 Drop it
다시 떠나는 또 한번의 여행 절대
이 손을 놓지 말아줘 you
우린 뒤돌아보지 않아 너와 나의 추억도 여기 남아
더 망설일 시간은 없는걸 조금 더 빨리
( Come to me this moment )
더 찬란한 우리의 순간을
놓칠순 없는 걸
( oh na na na )
Ha ha ha higher 저 하늘을 날아서
더 더 더 크게 외쳐 umm like this
더 더 크게 몰아치는 파도와
우 우 우리 A Dreamy day with you
모래위에 써내려가 너와나의 약속
파도위에 일렁이는 우리의 A dremy day
나 , 꿈에서 깨어나 모든게 사라져 버려도
절대로 잊지 않아 찰나의 아름다운 너와나",small beginning,"댄스, 인디음악"
댕댕 (dangdang),마마무+,36676297,2023.08.03,4671,"머리가 띵해 댕대댕댕
자꾸 너 땜에 댕대댕댕
우리 댕댕이 까까까꿍
Clap your hands move your feet
짝짝짝짝
학교종이 댕대댕댕
내 마음이 댕대댕댕
달콤한 아이스크림 아이 아이 아이스
하루 온종일 네 생각 잉잉잉
이리 보나 저리 보나
가끔 몇 번이고 놀라
널 볼 때마다 내 마음은 봄날처럼
꽃이 가득 피네 bloom bloom
구름을 타고 놀아 up and down
너와 단둘이면 어디든 난
가고 말 거야 산이든 바다든
Trip trip trip
머리가 띵해 댕대댕댕
자꾸 너 땜에 댕대댕댕
우리 댕댕이 까까까꿍
Clap your hands move your feet
짝짝짝짝
학교종이 댕대댕댕
내 마음이 댕대댕댕
달콤한 아이스크림 아이 아이 아이스
하루 온종일 네 생각 잉잉잉
이리 온나 빨리 온나
뜸 들이다 놓쳐도 몰라
내 마음 몰라 밀고 당기지 마
날 기다리게 만들지 마
날 봐 어딜 봐 여기 좀 봐
Hello baby, you don’t have to be shy
잡힐 듯 말 듯 닿을 듯 말 듯
Ya ya ya ya
나밖에 모르는 멍청이
내 뒤만 따라다녀 여전히
날 가만히 놔두질 않지
귀염 장난꾸러기
내 사랑 다 받아
하트 발사 ♡♥♡
머리가 띵해 댕대댕댕
자꾸 너 땜에 댕대댕댕
우리 댕댕이 까까까꿍
Clap your hands move your feet
짝짝짝짝
학교종이 댕대댕댕
내 마음이 댕대댕댕
달콤한 아이스크림 아이 아이 아이스
하루 온종일 네 생각 잉잉잉
Hey shy boy, come on shy boy
댕댕 댕대댕댕
Hey shy boy, come on shy boy
댕댕 댕대댕댕
두두두 둘만 아는 암호 같은 놀이
내가 너를 부를 때 댕대댕대댕
머리가 띵해 댕대댕댕
자꾸 너 땜에 댕대댕댕
우리 댕댕이 까까까꿍
Clap your hands move your feet
짝짝짝짝
학교종이 댕대댕댕
내 마음이 댕대댕댕
달콤한 아이스크림 아이 아이 아이스
하루 온종일 네 생각 잉잉잉
Hey shy boy, come on shy boy
댕댕 댕대댕댕
Hey shy boy, come on shy boy
댕댕 댕대댕댕",TWO RABBITS,댄스
ONE MORE TIME,브브걸 (BBGIRLS),36674596,2023.08.03,5236,"Give it to me baby
뜨거웠던 눈빛
꿈만 같던 Feeling
보여줄래 To me
I don't need a savior
너만 있어 주길
다시 한번 One more time
So, give it to me baby
(Give it to me baby)
Give it to me baby
(우린 달라졌어 Lately)
Give it to me baby
Give it to me baby, One more time
아득한 나의 Summer night
별들이 내린 까만 Eyes
열기로 물든 나의 맘
그때가 그리워 Tonight
Give it to me baby
뜨거웠던 눈빛
꿈만 같던 Feeling
보여줄래 To me
I don't need a savior
너만 있어 주길
다시 한번 One more time
So, give it to me baby
(Give it to me baby)
Give it to me baby
(우린 달라졌어 Lately)
Give it to me baby
Give it to me baby, One more time
어쩌면 모두 Summer dream
달콤한 꿈을 꾼 건지
그게 다 뭐가 됐든지
서둘러 내게 Eyes on me
Give it to me baby
뜨거웠던 눈빛
꿈만 같던 Feeling
보여줄래 To me
I don't need a savior
너만 있어 주길
다시 한번 One more time
So, give it to me baby
(Give it to me baby)
Give it to me baby
(우린 달라졌어 Lately)
Give it to me baby
Give it to me baby, One more time
난 변함없이
널 찾고 있어
늘 처음의 그 눈빛으로
이 순간 기횔
놓치면 안 돼
더 늦기 전에 One more time, Oh-
Give it to me baby
뜨거운 이 Music
황홀한 그 Something
전해줄래 To me
I don't need a savior
그날처럼 우리
다시 한번 One more time
So, give it to me baby
(Give it to me baby)
Give it to me baby
(다시 처음처럼 Wake me)
Give it to me baby
Give it to me baby, One more time",ONE MORE TIME,댄스
Turn it off,NINE.i (나인아이),36674329,2023.08.03,863,"Turn it off
TURN OFF your HEAD NOW
진정한 행복을 난 몰라
불안 걱정 많은 게 떠올라
이렇게 우린 doing now
We fight- We fly- We freeze
차라리 장난감이 된 듯이
버튼을 눌러 Make you smile
입꼬리가 눈에 닿을 때까지
Turn off the mode
우린 세상이 막아선대도 Yeah
우린 어제론 밀리지 말자,
우린 세상은 여전히 춥고 어두워
어쩌면 영원히 쭉 그래 보여
그래도 웬만하면 우린 도망치지 말자
머릿속 날카로운 소음들은 모두
Turn it off
Just turn it off
We fight- We fly- We freeze
이 순간 알아차려
I’ll turn off the 머리의 버튼
We fight- We fly- We freeze Turn it off
숨이 차고 앞길은 한없이
아득히 멀어만 보여
근데 왠지 우리가 그다지
질 것 같진 않지
Now will you follow me
차라리 장난감이 된 듯이
버튼을 눌러 Make you smile
이 모든 어둠이 끝날 때까지
Turn off the mode
우린 세상이 막아 선대도 Yeah
우린 어제론 밀리지 말자, 우린
세상은 여전히 춥고 어두워
어쩌면 영원히 쭉 그래 보여
그래도 웬만하면 우린 도망치지 말자
머릿 속 날카로운 소음들은 모두
Turn it off
Aah Aah Aah Aah
Just shut it down
네 Default mode Survival mode는
switch it off
Ooh Ooh Ooh Ooh
호랑이에 쫓기는 원숭이 마인드는 꺼줘
세상은 여전히 힘들고 벅차
그 속에 스스로 갇히지는 말자
행복한 우주의 아이가 되는 단 한 가지
머릿속 날카로운 소음들은 모두
Turn it off
Just turn it off
We fight- We fly- We freeze
이 순간 알아차려 I’ll turn off the
머리의 버튼
We fight- We fly- We freeze
Turn it off",NEW MIND,댄스
MAD,에이블루(ABLUE),36674581,2023.08.03,58,"hey 왜 그리 늦니 쳐다봐
미안해 넌 눈을 크게 wow
mistake 마저도 넌 어째
또 눈치 없이 뛰는 맘을 눌러봐
네 빛나는 얼굴이 Fashion all mix & match
나만이 바라는 우리 둘의 next stage
뭐 별 의미 없이 던지는 말도
내겐 get hurt
you so bad done im so mad done
pardon 뭐가 그리 답답해서 im in bed
미소를 take it 나도 봤어
갖지 못할 거라면 놔둬 다 버릴래
이것 봐봐 네가 나를 또 봤을 때
(Hey)
더는 NO 미룰 수 없을 때
(위험 we all 위험 we all)
네 곁에 닿을 수 있을 때
이제 네게 다가갈게
그 끝이 좋지 않다 해도
알아 나 후회 따윈 하지 않게
mad mad mad we so bad bad bad
my girl
i miss you so bad
i miss you so bad
내 맘이 닿을 수 있게
mad mad mad you so bad bad bad
my girl
i miss you so bad
i miss you so bad
내 맘을 전할 수 있게
Baby 적극적인 내 dash
알아 나도 네가 좋다고 내심
기대해내 매력은 만나보면 알아
부질없는 애들이 다들 말이 많아
i miss you so bad 네가 날 보기 전으로 go Back
to the next 여러 가지 방법을 test
네 머릿속에 새겨둬 못 잊어 My name
ya I'm better 잘해줄걸 아마 내가 몇 배로
네가 좋다면 네 취미도 난 배워
나란 사람으로 네 일상을 전부 채워
네가 하고 싶은 건 전부다 해 난 내버려 둬
너라면 가능해 많은 배려 도
근데 넌 거절해 내 마음을 또
무시해 괜찮아 난 Never Keep going
내 하루의 모든 건 널 향해 가고 있어
너를 갖지 못할 거라면 놔둬 다 버릴래
이것 봐봐 네가 나를 또 봤을 때
(hey)
더는 NO 미룰 수 없을 때
(위험 we all 위험 we all)
네 곁에 닿을 수 있을 때
이제 네게 다가갈게
그 끝이 좋지 않다 해도
알아 나 후회 따윈 하지 않게
mad mad mad we so bad bad bad
my girl
i miss you so bad
i miss you so bad
내 맘이 닿을 수 있게
mad mad mad you so bad bad bad
my girl
i miss you so bad
i miss you so bad
내 맘을 전할 수 있게
Hold Up 난 늘 진심 언제든 불러
물론 안 불러도 달려가 full love
네가 날 꼬신 게 맞아 난 홀려
네 옆에 남을 방법을 찾아 머리 굴려
i wanna get you
남들 시선 따위는 난 모르겠고
난 한말은 지켜 내가 뭐라 했든
better than me? What? so who
이것 봐봐 네가 나를 또 봤을 때
(hey)
더는 NO 미룰 수 없을 때
(위험 we all 위험 we all)
네 곁에 닿을 수 있을 때
이제 네게 다가갈게
그 끝이 좋지 않다 해도
알아 나 후회 따윈 하지 않게
mad mad mad we so bad bad bad
my girl
i miss you so bad
i miss you so bad
내 맘이 닿을 수 있게
mad mad mad you so bad bad bad
my girl
i miss you so bad
i miss you so bad
내 맘을 전할 수 있게",FAKE LOVE,댄스
꺼져,뽕정인,36674551,2023.08.03,9,"너 잘 들어 제발 헛소리 좀 하지마
너 잘 들어 괜히 화 돋구다 욕 나간다
그렇게 생각 없이 짓거릴 거면
이리와 귀 대봐 한마디 해줄게
꺼져 꺼져 꺼져 여기서 get out
꺼져 꺼져 꺼져 여기서 get out
야이 야이 야이 야이 야이 야이 야이 야
이놈의 shake it 이놈의 shake it shake it
야이 야이 야이 야이 야이 야이 야이 야
이놈의 shake it 이놈의 shake it shake it
너 잘 들어 제발 헛소리 좀 하지마
너 잘 들어 괜히 화 돋구다 욕 나간다
그렇게 생각 없이 짓거릴 거면
이리와 귀 대봐 한마디 해줄게
꺼져 꺼져 꺼져 여기서 get out
꺼져 꺼져 꺼져 여기서 get out
야이 야이 야이 야이 야이 야이 야이 야
이놈의 shake it 이놈의 shake it shake it
야이 야이 야이 야이 야이 야이 야이 야
이놈의 shake it 이놈의 shake it shake it
욕하고 막말 하는(악플다는) 인간들
이리와 이리와 이리와 확 대구리를!
꺼져 꺼져 꺼져 여기서 get out
꺼져 꺼져 꺼져 여기서 get out
야이 야이 야이 야이 야이 야이 야이 야
이놈의 shake it 이놈의 shake it shake it
야이 야이 야이 야이 야이 야이 야이 야
이놈의 shake it 이놈의 shake it shake it
꺼져",꺼져,댄스
