Title,Singer,Song_ID,Release_Date,Like_Count,Lyrics
그대의 숨결,길구봉구,36992723,2023.11.23,243,"수많은 사람 중에
내 곁을 항상 지켜주는 한 사람
밤하늘에 별들도 그대와 같아
어두운 내 맘을 비춰주죠

어디든 갈 수 있죠 손잡아 준다면
따듯한 햇살은 우리를 감싸고 있죠
이렇게도 아름다운 날들에

같은 하늘 아래 다른 그대와 나
온 세상이 멈춘 듯 느껴
포근히 내게 안겨요

모든 시간들은 너로 물들어 가
닿을 수 없는
곳에 있더라도
늘 항상 지켜줄게요
무심코 떠올려도
벅차오를 듯한 그대

따스한 그대 숨결
내 몸을 감싸면
시간이 멈추길
괜히 바라곤 했었죠
오랫동안 꿈꿔왔던 날들에

같은 하늘 아래 다른 그대와 나
온 세상이 멈춘 듯 느껴
포근히 내게 안겨요
모든 시간들은 너로 물들어 가
닿을 수 없는
곳에 있더라도
늘 항상 지켜줄게요
이렇게 그댈 가득 안고

수많은 그 모든 날들에
우리의 아름다웠던
시간을 품에 안으며

모든 세상들은 다 너로 물들어
어떤 날, 어떤 시간들 에서도
그대를 볼 수 있겠죠
이렇게 떠올리면 벅차오른 내 맘
그대"
작은 위로,선진,36995813,2023.11.23,80,"만날 수 있나요 우리
그냥 내 손 잡아 줄 수 있나요 그대
아무 말 없이 아무 표정도 없이
그냥 내 얘길 들어줄 수 있을까요

잠깐이라도 괜찮아요
웃는 얼굴만 보면 난 충분해
이게 뭐라고 이렇게 힘들게 할까
눈물이 왈칵 쏟아질 것 같아
찾아온 거죠

그대 작은 위로 필요할 때면
따뜻한 말이라도
눈물이 날 것 같다면
주저 말고 내게 와요
내 품에 안겨 울어요
아무것도 해줄 수는 없지만
그댈 안아줄 수 있으니

잠깐이라도 쉬어가요
괜찮아질 때까지 그래도 돼
그대 힘들 때
그렇게 아파하는 표정 볼 때면
나도 그대 못지않게 슬퍼져요

그대 작은 위로 필요할 때면
따뜻한 말이라도
눈물이 날 것 같다면
주저 말고 내게 와요
내 품에 안겨 울어요
아무것도 해줄 수는 없지만
그댈 안아줄 수 있으니

아무런 걱정 말아요
힘들었던 이 시간도
지나갈 거예요

오 그대 작은 위로 필요할 때면
따뜻한 눈빛으로
그저 바라볼 수 있다면
걱정 말고 내게 와요
밤새워 모두 말해요
아무것도 해줄 수는 없지만
들어 줄 수 있으니

그냥 내게 와요 가까이
안아줄 수 있으니"
"당겨요, 바로 지금",카코포니 (cacophony),36991973,2023.11.23,24,"급할 것 없어요
천천히 서로의 시간 주물러요
나는 당신 위해 여기에 있죠
날개를 버리고서
초콜릿 같은 말보다도
날 만나러 오는
길의 풍경을 말해줘요
기나긴 속눈썹보다도
당신을 담은
나의 눈동자를 봐줘요
이 심장에 조준해 줘요
당신만이 부술 수 있죠
당겨요, 바로 지금
끔찍할 정도로 좋아서
죽고 싶은 순간이 있죠
맞아요, 바로 지금
나는 당신 위해 여기에 있죠
영원히 앞으로도
초콜릿 같은 말보다도
날 만나러 오는
길의 풍경을 말해줘요
이 심장에 조준해 줘요
당신만이 부술 수 있죠
당겨요, 바로 지금
끔찍할 정도로 좋아서
죽고 싶은 순간이 있죠
맞아요, 바로 지금
이 심장에 조준해 줘요
당신만이 부술 수 있죠
당겨요, 바로 지금"
By your side,나고은,36992735,2023.11.23,105,"왠지 모르게
한 뼘 자라난 키
시간은 빠르게 흘러가

우리 어릴 땐
참 바보였는데
지금이 낯설기만 해

그런 밤엔 하늘을 봐
항상 널 비추는 starlight
어두울 수록 더 밝게 빛나니까

내 손을 잡고 날아올라
이젠 everything is all right
따스한 바람에 눈을 감아

By your side
곁에 머물러 forever
약속해 나
변하지 않겠다고

I love you with all my heart 기억해
늘 함께야 언제 어디서라도

난 가끔 어린 나를 기억해
지우기 어려운 memory
뒤 돌아선 나를 안아 주던
사랑의 말에 난 또 웃었지

By your side
곁에 머물러 forever
약속해 나
변하지 않겠다고

I love you with all my heart 기억해
늘 함께야 언제 어디서라도

하루가 일년처럼 느껴져
고장난 시계처럼 멈춰
좀처럼 가까워지질 않아 yeah

잡은 손을 놓지 않게
힘껏 너를 안아줄래
You and I hoo

By your side
험한 길 위를 걸어도
뒤돌아봐
더는 두렵지 않아

I love you with all my heart 기억해
늘 함께야 언제 어디서라도
(어디에서라도)

By your side
곁에 머물러 forever
약속해 나
변하지 않겠다고

I love you with all my heart 기억해
늘 함께야 언제 어디서라도
By your side"
머릿속을,카이 (Kai),36997139,2023.11.23,86,"그리움이 저만치 구름이랑 떠나가
그러다 비가 되어 내게로 돌아왔네
그냥 맞고 있는 게 차라리 나을 것 같아
한참을 맞았었네 너를 잊어내려고

해가 떠 말랐지만 여전히 네 냄새가 나
그리움이라기엔 지독하고 덧없네

사랑은 그런 거지 인정하긴 싫지만
모든 건 돌아오고 다 사라지진 않네
무얼 위해 살아야 어딜 향해 달려야
후회 없는 내 맘을 전부 안을 수 있나

머릿속을 헤매는 기억이란 과거가
나도 모르는 사이 지금을 사로잡네
오늘을 만끽하려 무슨 짓을 해봐도
기억이란 그림자 심장을 파고드네

눈 감아도 보이고 울어도 남아있는
도저히 알 수 없는 기억이란 상처를
가슴 속을 맴도는 사랑이란 향기가
나보다 조금 빨리 내 앞에 서있기를

머릿속을 채우는 잊고 싶은 네 모습
어쩌면 잊기 싫은 사랑이란 노래를"
"건너편, 어딘가에",우연소(遇緣所),36995888,2023.11.23,60,"가끔은 잠들지 못한 밤이 있어
하늘에 어둠이 옅어질 때까지
깊은 밤 속은 타는 듯 성냥 같아
어쩌면 너의 마음도 그럴까

숨이 벅차도록
헤엄친 바다 위
어둠 속 피어난 저 등대처럼
길을 잃지 않게 빛을 내줄 누군가
그게 너라면 날 태워서라도 비출 거야

사랑은 그런 거
모든 걸 내어도
다시 주고픈
그런 맘인 거래

숨이 벅차도록
헤엄친 바다 위
어둠 속 피어난 저 등대처럼
길을 잃지 않게 빛을 내줄 너에게
그게 너라면 날 태워서라도 비출 거야

아 어릴 적 그렸던
그 꿈들을 다시 그리며

시간의 건너편 어딘가에
웃고 있을 우리
꼭 기억해 줘
서툴고 불안한
이 바다 위 우리는
서로를 비춰 뭍에 닿을 때 그때까지"
밤빛 (Acoustic Ver.),Aalia (알리아),36994741,2023.11.23,17,"사실 나 오랜 시간 외로웠어 널 끌어당긴 어둠도 나였어
끝이 없는 터널 속에서
널 만났던 거야
햇살 같은 널

어지러운 세상 속에 난 그저 아무것도 아니라고
바다 위에 길을 잃은 장미같이 불안하고
두려웠었어

너를 만나고 난 뒤에
네 눈에 비친 나의 모습
마치 다시 태어난 것 같아
새로운 내가

넌 내게 태양 같은 사람
난 회색빛이 더 편한 사람
우린 서로 너무나도 닮아있어
떨어진다는 생각조차 싫어

네가 해주는 세글자는
나의 온몸에 전율을 느끼게 해
널껴안고 모든 어려움 이겨 낼 거야
난 절대로 변하지 않아


너를 만나고 난 뒤에 네 눈에 비친 나의 모습
너의 따스한 마음 안에서
난 너만을 원해

지금처럼만 아주 오래 내 곁에 있어달라고
밤 하늘에 빛나고 있는 저 달까지 내 바람이 닿을까

너를 만나고 난 뒤에 네 눈에 비친 나의 모습 오늘이 마지막인 것처럼
너와 함께 할래"
둘만의 비밀로,멜로망스,36988524,2023.11.22,"1,597","외로워 가던 내 모습과
혼자서 간직해야만 했던 날들
당연한 듯 자연스레 다가와
우리 마음 닿았었던 시간들
사라져만 가던 기대와
한켠에 숨기고 싶었던 모습들
우연이 만들어 준 우리들로
어둡던 만큼 환하게 빛났죠

숨기고 싶었던 비밀들조차
소중했던 추억으로
사랑할 수밖에 없는 모습으로
우린 만난 거죠

다를 거라 생각했었던 서로가
너무 다른 모습이라던 우리였기에
지금에 와서야 서로여야만 하는 이유였죠

숨기고 싶었던 비밀들조차
소중했던 추억으로
사랑할 수밖에 없는 모습으로
우린 만난 거죠

차마 기대할 수 없던
이해조차 바랄 수 없던
숨겨온 내 모습 이해받고 있죠

애써 외면해 왔었던 아픔도
안아줄 이유가 됐죠
나만의 아픔들 모두
우리를 위한 길이 돼준 거죠

둘만의 비밀로"
Never say,최도영(CANDO),36988678,2023.11.23,32,"그대 떠나간단 말 하지 말아요
헤어짐을 한번도 난 생각한적 없어요

부디 잘 지내란 말도 하지 말아요
내겐 작은 희망조차 없나요

사랑은 혼자할 수 없는데
이별을 왜 나만 감당하는지

Never say goodbye 그대 돌아올 순 없나요
마치 사랑한 적 없듯이
나를 외면하는 그댄데 나를 떠나가던 그댄데
아직 사랑하나봐요

그대 나를 사랑하긴 했나요
헤어짐이 아쉬워서 나 한번 더 물어요

이젠 대답조차 들을 수가 없나요
이게 우리의 마지막인가요

눈 뜨면 곁에 있어야만 할
그대를 이제는 볼 수 없나요

Never say goodbye 그대 돌아올 순 없나요
마치 사랑한 적 없듯이
나를 외면하는 그댄데 나를 떠나가던 그댄데
아직 사랑하나봐요

이런 바보같은 내가 싫어요
그래도 이렇게 끝낼 수는 없잖아요

Never say goodbye 그대 돌아올 순 없나요
마치 사랑한 적 없듯이
나를 몰랐었던 그때로 처음 사랑하던 그때로
다시 돌릴 수 없나요
아직 사랑하나봐요"
붙잡고 싶은데,카진,36989066,2023.11.22,80,"네가 지친 걸 마음이 떠난 걸
그래 이미 알고 있었어
몇 번을 반복해도 이별은
오랜 준비도 느닷없이 성큼 다가오더라
어떤 연습도 지나간 배움도
헤어짐엔 소용이 없어서
곧 기억은 나에게 모질게 굴어
너를 이만큼 또 데려오겠지
너를 꼭 붙잡고 말해주고 싶은데
그게 잘 안돼
이런 몹쓸 자존심 때문에
상처들로 가득한 우리들의 시간이
아물어질 수만 있다면
너는 어떨까 떠나는 이별은
단단하게 굳은 맘일까
기억은 나보다는 돌아선 너의 편이라
날 저만큼 멀리 데려가겠지
너를 꼭 붙잡고 말해주고 싶은데
그게 잘 안돼
이런 몹쓸 자존심 때문에
상처들로 가득한 우리들의 시간이
아물어질 수만 있다면
잡고 싶어 늦어버린 내 말이 들리니
내가 미안해 돌아오지 말고 가
너를 꼭 붙잡고 말해주고 싶은데
그게 잘 안돼
너를 다 보내고 잊어주고 싶은데
그게 잘 안돼
사랑이란 기억들 때문에
너 하나로 가득한 우리들의 시간이
돌아와 질 수만 있다면"
너를 붙잡을 수 있을까,밈 (mim),36989277,2023.11.22,31,"안녕이라고 말하지 말아요
아직 못다 한 말이 남아
돌아선다면 그래야 한다면
내 얘길 한 번 만 들어줘

고마웠단 말도 아직 네게 못했는데
그냥 돌아서버리는
너를 붙잡을 수 있을까

안돼요 떠나지 말아요
그대 가버리면 난 어떻게 하나요
안돼요 그러지 말아요
내 맘을 이렇게 아프게 하진 마요


미안하단 말은 내게 하지 말아 줘요
예전처럼 그냥 나를
사랑해 주면 안 될까

안돼요 떠나지 말아요
그대 가버리면 난 어떻게 하나요
안돼요 그러지 말아요
내 맘을 이렇게 아프게 하진 마요

그대는 나에게 이러면 안 되잖아
내가 어떻게 널 사랑했는데

알잖아 나를 잘 알잖아
그대 없는 내 모습 너무 잘 알잖아
알면서 이렇게 떠나면 어떡해
매일 울고 있는 날 알잖아

그대 없는 내 모습 잘 알잖아"
나의 별,반광옥,36982699,2023.11.21,374,"아름답고 가장 예쁠 때
나에게로 와준 그대
꿈만 같던 내 나날들이
너무나도 감사했어
언제부턴가 나의 하루들은
온통 너로 가득 찼어
존재만으로
밝게 빛나는
나만의 별
오직 내 곁에
두고 싶어
함께 할 시간들이
아름답도록
너의 밤을 채워줄게
힘이 들 때면
다시 금방 웃게 해줄게
이젠 내가 널 비춰줄게
어두운 길을
걸어갈 때도
너의 발이 되어 줄게
아무것도 잘난 거 없는
나에게로 와준 그대
운명 같던 그 순간들이
나에게는 전부인 걸
하나가 되어 마주 잡은 손을
다신 놓지 않을게
존재만으로
밝게 빛나는
나만의 별
오직 내 곁에
두고 싶어
함께 할 시간들이
아름답도록
너의 밤을 채워줄게
힘이 들 때면
다시 금방 웃게 해줄게
이젠 내가 널 비춰줄게
어두운 길을
걸어갈 때도
너의 발이 되어 줄게
언제나
세상 가장 아름다운
너의 모든 순간을
평생 간직할게
영원히
함께 할 시간들이
아름답도록
너의 밤을 채워줄게
힘이 들 때면
다시 금방 웃게 해줄게
이젠 내가 널 비춰줄게
어두운 길을
걸어갈 때도
너의 발이 되어 줄게
언제나"
