Title,Singer,Song_ID,Release_Date,Like_Count,Lyrics
하나만 해,방예담,36995844,2023.11.23,"1,444","하나만 해
잘해줬다 못했다 하지 말고
사랑 갖고 장난칠 생각 말고
뭘 그렇게 쳐다봐 그건 또
어떤 의미야 진짜 모르겠으니까
하나만 해

Baby just believe in yourself
자꾸 널 속이려 해
다른 누구보다 멋진 남자가 돼주고픈 맘을
왜 그렇게 멋대로 흔들어 놓고선 baby
뒤돌아서면 나는 어떡해

Oh no no no
이랬다저랬다 말없이 또 나만 슬프니까
Wanna get with you 어떻게든
I’m gonna make it right yeah

심장이 뛰어 미친 듯이
I’ll give it to you 뭐가 됐든지 yeah yeah

그냥 하나만 해
잘해줬다 못했다 하지 말고
사람 갖고 장난칠 생각 말고
뭘 그렇게 쳐다봐 그건 또 어떤 의미야
진짜 모르겠으니까 하나만 해

Just believe in yourself
누가 뭐라든지
All around the world
너 같은 사람 없지
I’ll take you to paradise
so baby 걱정 마
계속되는 떨림
As long as you love me

When you fall
I’m right here baby
We’ll be alright baby
나를 믿어 girl

항상 가득 차 있어 난 With the thought of you
I just wanna die in your arms 내 마지막 꿈

그냥 하나만 해
잘해줬다 못했다 하지 말고
사람 갖고 장난칠 생각 말고
뭘 그렇게 쳐다봐 그건 또
어떤 의미야 진짜 모르겠으니까
하나만 해

If you love me 그냥 말을 해줘 girl
그런 눈으로 날 보면
답이 나오는 게 아냐 yeah yeah

I know what you want
원한다면 give you the world

이랬다저랬다 하지 말고
확실하게 말을 해줘

하나만 해
잘해줬다 못했다 하지 말고
사람 갖고 장난칠 생각 말고
뭘 그렇게 쳐다봐 그건 또
어떤 의미야 진짜 모르겠으니까
하나만 해

잘해줬다 못했다 하지 말고
사람 갖고 장난칠 생각 말고
뭘 그렇게 쳐다봐 그건 또 어떤 의미야
진짜 모르겠으니까 하나만 해"
BLOODY (Feat. Microdot),김보아,36992739,2023.11.23,57,"I'm feelin' really mad. feelin' really mad.
내가 나를 놓던 순간
I will be will be bad. will be will be bad.
All bloody bloody bloody
새빨갛게 숨 쉬던 심장은 검게 변했어
I will be will be bad. will be will be bad.
All bloody bloody bloody

다 알고 있어 네가 한 짓을
그림자 뒤에 숨어 되뇌
When I'm not around.
순수했어 사실이야 이렇게 변할 줄은
정말 상상도, 원한 적도 없어

넌 왜 Rude rude rude rude 해?
이게 왜 내 Draw draw drawback 인데?
Everybody make, made made made me
나에 대해 다 아는 척했던 말

I feelin' really mad. feelin' really mad.
내가 나를 놓던 순간
I will be will be bad. will be will be bad.
All bloody bloody bloody
새빨갛게 숨 쉬던 심장은 검게 변했어
I will be will be bad. will be will be bad.
All bloody bloody bloody


솔직했었던 나의 감정들
점점 감출 수밖에 없었어 Then I'm gone.

(RAP)
갈수록 점점 변하는 내 모습이,
네 생각만 해도 지금 내 목을 조르지,
널 만날수록 더 작아지는 내 목소리,
소름 끼치네 널 붙잡고 있는 시체,
You've murdered my mind taken my soul,
Holding my body,
You've taken control, I overdosed,
Now you've robbed me,
너의 중독이 된 내 자신을 바라보는 내 마음이,
Im still wanting your love,
Wanting your touch, Damn the irony,
You bad.


넌 왜 Rude rude rude rude 해?
이게 왜 내 Draw draw drawback 인데?
Everybody make, made made made me
나에 대해 다 아는 척했던 말

I feelin' really mad. feelin' really mad.
내가 나를 놓던 순간
I will be will be bad. will be will be bad.
All bloody bloody bloody
새빨갛게 숨 쉬던 심장은 검게 변했어
I will be will be bad. will be will be bad.
All bloody bloody bloody

People are all bad.
Only know yourself.
Lost me in the end.
넌 왜 Rude rude rude rude rude
이게 왜 Draw draw draw drawback
Everybody make, made made made me

I feelin' really mad. feelin' really mad.
내가 나를 놓던 순간
I will be will be bad. will be will be bad.
All bloody bloody bloody
새빨갛게 숨 쉬던 심장은 검게 변했어
I will be will be bad. will be will be bad.
All bloody bloody bloody"
그저 그런 맘 (by CloveR) (Prod. SIM2),merrymerryseoul,36995408,2023.11.23,51,"그날을 떠올려
우리의 마지막이었던
여전히 날 맴도는 네 목소리
조금도 변함이 없어 난
네 곁에 머무르고 싶어
이런 내 맘이 이기적이래도 난
너와 함께 했었던 그 모든 것
아직 그대로 남아있는 걸
떨쳐내고 싶진 않아
그저 그런 맘이야
너가 좋아했었던 그 모든 건
이젠 나의 취향이 됐는 걸
돌아오란 말은 아냐
그저 이런 맘이야
나도 이런 내가 밉지만
나 없이도 밝게 웃는 너를
보는 게 너무나 힘이 들어
조금도 변함이 없어 난
네 곁에 머무르고 싶어
이런 내 맘이 이기적이래도 난
너와 함께 했었던 그 모든 것
아직 그대로 남아있는 걸
떨쳐내고 싶진 않아
그저 그런 맘이야
너가 좋아했었던 그 모든 건
이젠 나의 취향이 됐는 걸
돌아오란 말은 아냐
그저 이런 맘이야"
아이(I) (Feat. DAWN),박봄 (Park Bom),36988996,2023.11.22,"2,868","lonely lonely
lonely lonely

초라해 보여
가시밭길 속에 넌 위험해

어쩌다 마주친 슬픔, 쓸쓸함에
너무 무거워진 발걸음

날이 점점 어두워져 해가 지나봐
너는 왜 아직 그 자리에

비라도 내릴까 봐 걱정돼
이제 내 손을 잡아
눈물은 멈추지 않아도 돼

저길을 잃은 아이 (I)
혼자 외롭게 울고 있는 아이 (I)
꼭 나인 것 같아

갇혀진 아이 (I)
지쳐 쓰러져 울고 있는 아이 (I)
네 손을 건네줘

(제발) lonely lonely
(내게) lonely lonely
(와줘) lonely lonely
거울 속 비춰진 그 아이 (I)

lonely lonely (올 순)
lonely lonely (없어?)
lonely lonely eh

너무 위태롭게 느껴지는 걸
금방 꺼질 듯 흔들리는 촛불처럼

그저 그 자리에
내 손잡아 줄 누군갈 기다려
떠나지 못해 홀로 남겨진 채

얼어붙은 맘을 녹이질 못해
차갑게 식어버린 바람만 탓해
비를 품은 구름 뒤에 숨어
헝클어져 버린 나를 혼자 달래곤 해

슬픈 결말은 없을 거라 믿던
해맑던 아이는 이미 빛을 잃어
낯선 세상 속을 혼자 걷고 있어

붉어진 눈시울에 홀로 애써
입꼬리만 웃고 있어

시간이 점점 흘러가면
사라질까 봐 두려워
매일 그 자리에

괜찮다 말해줄 너를 기다리며
눈물을 멈출 수가 없는걸

저길을 잃은 아이 (I)
혼자 외롭게 울고 있는 아이 (I)
꼭 나인 것 같아

갇혀진 아이 (I)
지쳐 쓰러져 울고 있는 아이 (I)
네 손을 건네줘

슬픈 영화 속 주인공처럼
늦봄에 남겨진 들꽃들처럼 yeah
가엾은 아이의 눈물방울
거울 속에서 비치는데

저길을 잃은 아이 (I)
혼자 외롭게 울고 있는 아이 (I)
꼭 나인 것 같아

갇혀진 아이 (I)
지쳐 쓰러져 울고 있는 아이 (I)
네 손을 건네줘

(제발) lonely lonely
(내게) lonely lonely
(와줘) lonely lonely
거울 속 비춰진 그 아이 (I)

lonely lonely (올 순)
lonely lonely (없어?)
lonely lonely eh"
CHEAT LIFE (feat. punchnello) (prod. by GRAY),eill,36986182,2023.11.22,162,"Space space...
오늘도 the end
침대로 Let`s dive sippin sippin 하이볼
대답은 늦겠네 Sorry to ma baby
집에 가서 샤워하는 것도 귀찮아 Yeah
뒹굴뒹굴 Anime 보면서 행복하게
아침이 올 때까지 모니터 앞에서 Game
…what a xxxx beautiful life

I wanna be No.5
지금 이대로가 좋아
항상 자유롭게 살고 싶은데
벗어나고 싶어 Blue box
누군가의 오마카세는 No
내 Style대로 만든 Life hack No stress

Let’s hanging out cheat life
Stay tune lalala
오늘 밤은 You & I
We are one and the same 닮은 Vibe
Let’s hanging out cheat life

전부 다 필요 없어 Wait!
그만 괴롭혀 Don't call me,

오늘 내 할당량 다 찼어 켜지 PC를
시원하게 맥주 한 캔 까고 늘어진 뒤에
날 기다리는 수많은 히로인과 마주해
이게 나야

난 있잖아?
어려운 거 잘 몰라
지금보다 좋아질 수 있다고? 흠..글쎄다.
복잡한 얘기 이러쿵 저러쿵 늘어놔 봤자 몰라,
그냥 끌어안고 잘래 내 소중한 다키마쿠라

I wanna be No.5
지금 이대로가 좋아
항상 자유롭게 살고 싶은데
벗어나고 싶어 Blue box
누군가의 오마카세는 No
내 Style대로 만든 Life hack No stress

Let’s hanging out cheat life
Stay tune lalala
오늘 밤은 You & I
We are one and the same 닮은 Vibe
Let’s hanging out cheat life

Dalala"
Amnesia,VIXX (빅스),36985882,2023.11.21,"2,384","꽤나 질이 나쁜 이 꿈, But like it
비틀린 Touch 굴절된 Love
너의 시작과 끝 All is me
다 잊어 Just don’t look back

안과 밖이 섞인 듯
매듭처럼 엮인 Heart
나로 채워 모든 틈
We’re falling in time

Over again and again
구원해 woo
이 왜곡된 기억 속
나 외의 다른 건 Forget

I’ve got Amnesia, woo
비틀린 채 이어지는 Connect
Ya, woo
거부해도 끌려가는 Magnet

Na na na na
Na na na na na na na
Na na na na
네 기억을 감춰 Blur
Na na na na
Na na na na na na na
내 손에 널 Take it

어떤 너도 Traceable
내겐 Ain’t no problems, though
달아난 순간도 넌
오차범위 속

Over again and again
언제든 woo
이 달콤한 낭만 속
나 외의 모든 건 다 Fade

I’ve got Amnesia, woo
비틀린 채 이어지는 Connect
Ya, woo
거부해도 끌려가는 Magnet

간절한 꿈
그 안을 헤매는 Night
리본을 맨 손가락 끝
춤추는 You
마주한 Eye, eye, eye, eye, eyes

I’ve got Amnesia, woo
하나보다 하나 같은 Connect
Love, woo
이 사랑에 끝이 없길 원해

Na na na na
Na na na na na na na
Na na na na
네 기억을 감춰 Blur
Na na na na
Na na na na na na na
내 손에 널 Take it"
Astronaut,남지인,36988962,2023.11.22,10,"무언가를 찾아서 멀어지는 이 순간
나를 지켜왔었던 그 빛을 따라서

희미한 신호를 느껴 앞으로부터 가야 할
약속되어 있던 것처럼 끌어당겨지고 있어

메아리친 어딘가의 음성
바래왔던 소리, 듣고 싶은 얘기
이제서야 널 마주하는 시간이 됐음을 알아

무언가를 찾아서 멀어지는 이 순간
나를 지켜왔었던 그 빛을 따라서
빛을 따라서
헤매이고 얽혀도 결국 찾게 될 것을
알 수 있던 건 너여서 그래

이 적막의 한가운데 다다라야 할 곳이 있어
신비로 가득 채워진 미개봉의 순간들로

슬픔과 치유, 무한한 궤도 그 안으로 올라타
나약했던 미래는 이제 다르게 흘러가는 걸

무언가를 찾아서 멀어지는 이 순간
나를 지켜왔었던 그 빛을 따라서
빛을 따라서
헤매이고 얽혀도 결국 찾게 될 것을
알 수 있던 건 너여서 그래"
Hate You,오닐 (ONiLL),36987166,2023.11.22,19,"been waiting all day
and felt giddy on my way
but when you said it to my face
I drew a blank
we had some good time
just like the other days
and prolly that’s why I
did not know what to say

I thought you felt the same
cause every time we spent together
I didn’t feel a thing
you should’ve told me that then
cause I still have no idea what it is
that made you turn your back

you said you’d love me babe
and never walk away
but why you’re dumping me now
what should I do to move on
I’m just so lost without you
I don’t wanna be left here alone

don’t leave far away
if you’re coming back I can’t hold on much longer
if you don’t call me tonight
I’d spend another longest night in pain
the sun will never rise

you said you’d love me babe
and never walk away
but why you’re dumping me now
what should I do to move on
I’m just so lost without you
I don’t wanna be left here alone

I guess now we’re really done
thought you’d come back someday
cause I been staying sober every night waiting
for you to call me back

you said you’d love me babe
and never walk away
but why you’re dumping me now
what should I do to move on
I’m just so lost without you
I don’t wanna be left here alone"
Changeless (Feat. Ilipp),"entoy, JustEddy",36987667,2023.11.21,76,"Even if I wanted to
(Yeah I know you want it)
Wouldn’t want to change for you
(Woah, tell me that you need it)
These days I’m all about me
Hate that you’re living rent free on my mind,
Stop wasting my time,
I’m not these other guys

Some days I’m running right back
These days, I’m living too fast
(Live fast, die young, I owe, no one)
That’s you

I’ve been on my way (on my way to you)
You’ve been on your way (on your way to me)
Please don’t change for me,
Cause I can’t change for you..
Even if I wanted, so before we get this started
I won’t change

Isn't it funny?
You thought I can change
My everything for you with no hesitation
What if I change for you,
Maybe I should worry about it
Who can handle my emotion
But I was like ""Should I?""
Then you remind me X to Z
I mean I forgot that
Why-why-why
""Why should I?""
Cause I got your lie-lie-lies
I’ve been try-try-tried
Yeah err‘day err’night
You just ruined my life
No baby I mean I lied
Want you to lean on my side
But maybe it's too late to change
Cause you know how I've been

I’ve been on my way (on my way to you)
You’ve been on your way (on your way to me)
Please don’t change for me,
Cause I can’t change for you..
Even if I wanted, so before we get this started
I won’t change
I’ve been on my way (on my way to you)
You’ve been on your way (on your way to me)
Please don’t change for me,
Cause I can’t change for you..
Even if I wanted, so before we get this started
I won’t change"
erase,ecru (에크루),36981616,2023.11.21,108,"Night hush down all of the lights
I push out all of the thoughts about you
멀리 멀리 멀리
떠나보내고 싶어서
Why you come crawl in my mind?

oh shit
머릿속에 가득 찬
쓸데없는 낙서들이 날
집어삼켜버리는 듯이
no away 빠져나갈 수 없어
oh is it a dream
that I can never wake up and I scream
wanna go back to the time when we were us but you’re farther than it seems

I want to erase you from my mind
All days turned gray, losing u from my life
why did you leave me here alone
Knowing that is all that I fear
I want to erase you from my mind

Now look at me, all messed up
여기저기 휘둘려서
스치고 지나갔던
그 향기가 내 맘을 뒤덮고선
나도 모르게 향하고 있어
네가 있는 그곳으로
I can’t control myself

oh shit
머릿속에 가득 찬
쓸데없는 낙서들이 날
집어삼켜버리는 듯이
no away 빠져나갈 수 없어
You are already carved in my heart
be missing you all my life
All days are lost If I can’t just have you right back

I want to erase you from my mind
All days turned gray, losing u from my life
why did you leave me here alone
Knowing that is all that I fear
I want to erase you from my mind"
