Title,Singer,Song_ID,Release_Date,Like_Count,Lyrics
연착,BIG Naughty (서동현),36997129,2023.11.23,"5,533","WAIT!
I GOT A BIG BIG NEWS
네가 타려던 그 비행기가 못 뜬대 평생
WAIT!
I GOT A BIG BIG NEWS
이렇게 된 거 그냥 나랑 같이 있을래 평생
너만을 위한 노래
널 위한 너에 의한 너의 노래
다 써 줄게
장르는 멜로 아님 로맨스
주인공은 너 해
이건 오직 우리 둘만 위한 영화지
너무 달달한 나머지
빨간 안경 쓴 아저씨가 싫어할 만해
한 줄 평은 no thanks
아 왜 그때
새벽에 전쟁 난다 했을 때
그럼 안 되는데 아는데
엄마보다 네 생각이 더 났네
인생이 one way flight 이라면
바람이 안 멈췄으면 좋겠어
그래서 굳이 데려갔어
널 그 쌈밥집에
택시를 못 탔으면 했어
WAIT!
I GOT A BIG BIG NEWS
네가 타려던 그 비행기가 못 뜬대 평생
WAIT!
I GOT A BIG BIG NEWS
이렇게 된 거 그냥 나랑 같이 있을래 평생
사랑이 돈이면 난 부자
(Bad boy getting bigger guap)
아니 재벌 자수성가네
쌓인 부재중 전화 9999개
그 사이 네가 보이네
바다 건너는 게 생각보다 쉽네
전화론 not okay 그건 여전해
(Leellamarz!)
이건 내가 처음 쓰는 편도가 아닌
왕복 사랑 노래
너 땜에 땄다고 운전면허를
근데 깜빡했어 국제 면허는
(Young Jimmy Life)
찬란할 내 이십 대
첫 자락에 찾아온 너로 인해
계획했던 내 모든 것들이
개꿈에서 현실이 되었을 때
그때가 지금이니
16시간 뒤에 나를 꽉 안아줬으면 해
ICN > YVR
이 정도 했으면
인정해 줘 내 낭만을
ICN > YVR
이 정도 참았으면
응원해 줘 내 사랑을
WAIT!
I GOT A BIG BIG NEWS
네가 타려던 그 비행기가 못 뜬대 평생
WAIT!
I GOT A BIG BIG NEWS
이렇게 된 거 그냥 나랑 같이 있을래 평생
평생
평생
그림 같은 집을 짓고
평생
평생
평생"
I YA E YA (MBTI),신현희 (신현희와김루트),36995594,2023.11.23,103,"왜 내 뜻대로 되는게 없는 거야 (HEY)
왜 꺾이지 않는 건 내 맘인 거야 (HEY)
어떻게든 돼라 LALA C'est la vie 아주 거친 인생이야
Oh mamma, Oh mamma,
Oh mamma, Oh Mamma Mia
새벽같이 일어나 제 정신 못 차리는 나
별 보고 달 보고 겨우 지구로 돌아온 나
샵으로 달려가서 머리하고 네일하고
미칬나? 내, 내, 내 미칬나?
두근두근 가슴이 너무 떨려와
한참을 기다려도 오빤 왜 안와
폰을 꺼내 날짜 보니 오늘이 아냐
이게 뭐야, 내일이잖아
오빠는 I야 E야 (HEY)
I야 E야 E야 I야 E야 (HEY)
I야 E야 E야 I야 E야 (너 MBTI)
I야 E야 I야 (HEY HEY HEY)
나는 I야 E야 (HEY)
I야 E야 E야 I야 E야 (HEY)
I야 E야 E야 I야 E야 (너 MBTI)
I야 E야 E야 (HEY HEY HEY)
S라인 가슴빵빵 엉덩이 빵빵빵
바프 찍고 아싸 인싸 아주 만족 했는데
사진을 키워 얼굴을 천천히 보니
이게 뭐야,
옴메야~ 이 주름 뭐꼬?
새근 새근 자는데 왜 폰이 울리나
오빠 생일 케잌 알람이 왜 뜨나
폰을 꺼내 날짜보니 내일이 아냐
이게 뭐야
오늘이잖아
오빠는 I야 E야 (HEY)
I야 E야 E야 I야 E야 (HEY)
I야 E야 E야 I야 E야 (너 MBTI)
I야 E야 I야 (HEY HEY HEY)
나는 I야 E야 (HEY)
I야 E야 E야 I야 E야 (HEY)
I야 E야 E야 I야 E야 (너 MBTI)
I야 E야
왜 내뜻대로 되는게 하나도 없는 거야
주문을 외워보자 내 뜻대로 돼라
아이야이야이야
아이야이야이야
아이야 어른이야
어떻게든 돼라 LALA C'est la vie
어떻게든 되겠지 O LALA C'est la vie
Oh mamma, Oh mamma,
Oh mamma Oh Mamma Mia
오빠는 I야 E야 (HEY)
I야 E야 E야 I야 E야 (HEY)
I야 E야 E야 I야 E야 (너 MBTI)
I야 E야 I야 (HEY HEY HEY)
나는 I야 E야 (HEY)
I야 E야 E야 I야 E야 (HEY)
I야 E야 E야 I야 E야 (너 MBTI)
I야 E야 E야 (HEY HEY HEY)"
사랑을 얻은 나는,연정 (YEONJEONG),36995487,2023.11.23,113,"사랑이란 두 글자에 담긴 힘을 느껴봤니
우린 감히 상상 못 할 커다란 사랑을

향기로운 말로 날 감싸 안아주는 그대는
깊은 잠 깨워주는 따스한 햇살

I love you I love you
사랑을 얻은 나는 노래하네 그댈 위해
Love you Love you
사랑을 사람으로 그린다면 그대 모습 일거야

이 세상 속 그 누구보다 날 사랑해 주는 걸
그대 없인 아무것도 아닌 내가 되어버려

내 마음속 깊은 곳 불어넣어준 사랑들로 난
매일 밤 좋은 꿈을 꿀 수 있던 걸까

I love you I love you
사랑을 얻은 나는 노래하네 그댈 위해
Love you Love you
사랑을 사람으로 그린다면 그대 모습 일 거야

고요히 흐르던 나의 밤을 붉게 비춰준 그대
뜨거운 그 심장 속은 나로 가득 차 있네

I love you I love you
그대 삶의 주인공 더 이상 내가 아닐 텐데
Love you Love you
사랑을 사람으로 그린다면 그대 모습 일 거야"
무궁화 꽃이 피었습니다,시황,36995842,2023.11.23,33,"무궁화 꽃이 피었습니다
오신다 손가락 걸던 내 님은
기다리는 이 내 맘도 모르고
오늘도 아니 오십디다

무궁화 꽃이 피었습니다
떠난 님 그리워 발도 못 떼고
행여 돌아볼까 이 모습 그대로
여기 남아서 피었습니다

무궁화 꽃이 피었습니다
다시 돌아와 내 얼굴 봤을 때
헤어진 그날 그 모습 그대로
가만히 앉아 피었습니다

붉어진 얼굴 애써 감추려
하얀 분을 덧칠해 봐도
이내 붉어진 눈시울 감아버리면
눈물만 시들어 갑니다

무궁화 꽃이 피었습니다
그대 등을 돌려 나를 봤을 때
숨을 꾹 참고 가만히 가만히
조용히 그댈 기다립니다"
OOTD,드림캐쳐,36989307,2023.11.22,"1,562","OOTD this my Fashion
Shut up, no more questions
비춰 Spotlight, Unforgettable
I’m the future, So incredible
안겨 줄게 더 큰 전율을
Like a time-lapse bet you’ll remember me
Catch up, it’s a miracle
Complicated, it’s a miracle
Revolution 나의 안목이
Gonna catch your attention, then wait till you know
Rise
매일 불꽃이 터져
So high
I am Venus, Nephthys Call me a Goddess
닿지 못할 만큼
I’m only doing better
Shall we start this game?
One, Two, Three, Four
One, Two, Three
OOTD this my Fashion
Shut up, no more questions
OOTD this my Fashion
Ready action
Don’t you want to feel it? Come and ride
Popping the champagne
Look at my necklace
Wearing my black dress
Cruising my rollie
Cash in the backseat
We call it so sweet, so sweet
Outta my Outta my Outta my
Fxxx outta my way
나의 Red carpet I’m another level
이제 안 숨길래 Looking for my life
Driving on the highway Drunken everyday
어때 Do you feel like a monster?
Rise
매일 불꽃이 터져
So high
I am Venus, Nephthys Call me a Goddess
닿지 못할 만큼
I’m only doing better
Shall we start this game?
One, Two, Three, Four
One, Two, Three
OOTD this my Fashion
Shut up, no more questions
OOTD this my Fashion
Ready action
Don’t you want to feel it? Come and ride
Popping the champagne
Look at my necklace
Wearing my black dress
Cruising my rollie
Cash in the backseat
We call it so sweet, so sweet
Celebrate, 우리의 축제
Elevate, 보다 더 높게
Visualize, 나를 더 표현해
Hypnotize, 좀 더 어지럽게
Popping the champagne
Look at my necklace
Wearing my black dress
Cruising my rollie
Cash in the backseat
Don’t you want to feel it? Come and ride
OOTD I’m flawless I’m flawless
I’m so gorgeous
여길 봐봐, I’m spotless I’m spotless
I’m so priceless
OOTD I’m flawless I’m flawless
I’m so gorgeous
여길 봐봐, I’m spotless I’m spotless
I’m so priceless
I’m so gorgeous"
Intro session : Humanoid operational,cotoba (코토바),36995545,2023.11.23,12,"현재까지의 연구 결과를 지금부터 보고하겠습니다
인간처럼 보이지만 인간이 아닌 존재로 살아갈 수 있도록
과거에 도착해 많은 사람들을 만나고 이를 통해 밝혀진 것들을
그 당사자인 당신들에게 음악처럼 들리는 기록으로

그 보고를
당신들을

이어지는 이 삶이 끝이 날 때
살아가는 이유들은 모두 같은 말들
전해지는 바에 따르면 사람은 나약하여
자신들을 구할 이를 기다린다고 합니다
믿어야만 찾아오는 하나의 안식을"
Head Spinners,박지우,36989035,2023.11.22,19,"곪고 또 곪아
고여있는데
만 골라서 더
작게만 돌아
So how’s it going?
So how’s it going?

내 손안에 든 물로
목을 적셔봐도
갈라진 외침은
펴질 수 없지
So how’s it going?
So how’s it going?

Over and over and over again
Full of anger with nothing to take in
Over and over and over again
Full of anger with nothing to take in
Over and over and over again
Full of anger with nothing to take in
Over and over and over again
Over and over and

끝을 향해서
달리다 보니
끝이라는 게
다 신기룬지
So how’s it going?
So how’s it going?

우린 알 수 없는
답을 정해 놓고
감당치도 못할
집착들에 갇혀
So how’s it going?
So how’s it going?

Over and over and over again
Full of anger with nothing to take in
Over and over and over again
Full of anger with nothing to take in
Over and over and over again
Full of anger with nothing to take in
Over and over and over again
Over and over and over and over again"
안녕 (HELLO!),신의진,36989068,2023.11.22,73,"너무 쓸쓸한 밤
비가 내렸던 내 마음
널 만나 다 이제는 안녕
Because of fall in love

똑같은 하루하루
너무나 잔잔했던 내 세상에
비가 그친 뒤 뜨는 무지개처럼
이젠 너무 특별해

꿈 속에서도 너, 너, 너
그려왔었던 너, 너, 너
그토록 찾아 헤매일 땐 없더니
예고도 없이 불쑥 찾아와
설레이게 해 간지럽혀 막

안녕 Hello, Hello
어서 와 사랑아
오래 전부터 널 기다렸다고
안녕 Hello, Hello
내 마음에 들어와
영원토록 머물러 줘

I'm fall in love with you
Fall in love with you
Fall in love with you
I'm fall in love, love, love
Fall in love with you

구름낀 나의 하루
너무나 흐릿했던 내 세상에
비가 그친 뒤 맑아진 하늘처럼
내 하룬 너무 화창해

어둠 속에서 너, 너, 너
반짝이던 별 너, 너, 너
그토록 찾아 헤매일 땐 없더니
예고도 없이 내 마음에 찾아와
설레이게 해 간지럽혀 막

안녕 Hello, Hello
어서 와 사랑아
오래 전부터 널 기다렸다고
안녕 Hello, Hello
내 마음에 들어와
영원토록 머물러 줘

I'm fall in love with you
Fall in love with you
Fall in love with you
I'm fall in love, love, love
Fall in love with you"
Ghost Writers,서울 전자 음악단,36986180,2023.11.22,71,"Ghost writers
Took your breath away
Ghost riders
Took your wallet away

Ghost writers
Wanna hold your hands
But they hidden behind the curtains

The puppets sing their songs
Smiling like the clowns
They may last forever you’ll just let it be
Pay the money to their masters

Hello again to another day
Goodbye again to yesterday
The masterworks rulin’ your mind today
You never know who are they

Ghost writers
Don’t make it bad
They made a fool of everyone

Ghost writers
Beat to the Stones
Doing the circus every day

The puppets sing their songs
Smiling like the clowns
They may last forever you’ll just let it be
Pay the money to their masters

*Hello again to another day
Goodbye again to yesterday
The masterworks ruling your mind today
You never know who are they

Hello again to another day
Goodbye again to yesterday
The masterworks ruling your mind today
You never know who are they

Hello again to another day
Goodbye again to yesterday
The masterworks ruling your mind today
You never know who are they

Hello again to another day
Goodbye again to yesterday
The masterworks ruling your mind today
You never know who are they

It’s such an easy game to play"
DO YOU LOVE ME,Aden (에이든),36988082,2023.11.22,42,"I'm so in love with you

uhh
it goes back
처음 그날
when I met you
너는 뭔가 달랐어
I think I knew that
that you are
the one
that I want
운명이라고

so tell me if you feel the same
do you dream about me in your bed
하루에도 몇 번씩
떠오르는 사람이
그런 사람이 나인지
cause I think that's you for me
you're the star that I've been chasing all this time cause

I am in love
love with you
you're the reason for my life
can't get you out of my mind
can't get you out of my mind
can't get you out of my mind
do you love me?

did you know
how I feel about you
and all the things that I'd do
to make you have a smile
나도 어색해
cause I turn
into something
I'm not
네 곁이라면

so tell me if you feel the same
do you dream about me in your bed
하루에도 몇 번씩
떠오르는 사람이
그런 사람이 나인지
cause I think that's you for me
you're the star that I've been chasing all this time cause

I am in love
love with you
you're the reason for my life
can't get you out of my mind
can't get you out of my mind
can't get you out of my mind
do you love me?

even the stars in the skies
shine this moment so bright
마지막 순간까지
you’re the one that I love

I am in love
love with you
you're the reason for my life
can't get you out of my mind
can't get you out of my mind
can't get you out of my mind
do you love me?

do you love me."
