songId,like_count
36999110,0
36999294,0
36999188,0
37000407,0
36998846,0
36999315,0
36999304,0
37001765,0
37001626,0
37001455,0
37000943,0
37000894,0
37000574,0
37000570,0
37000421,0
37000414,0
37000408,0
37000201,0
37000180,0
37000175,0
37000174,0
37000173,0
36999323,0
36999320,0
36999319,0
36999318,0
36999203,0
36999201,0
36999194,0
36999190,0
36999176,0
36999174,0
36998848,0
36998843,0
36998841,0
36998509,0
36997365,0
36995594,0
36995487,0
36993325,0
36991973,0
36995842,0
36995888,0
36995545,0
36991761,0
36996460,0
36995941,0
36995936,0
36995751,0
36995724,0
36963705,48
36965084,3
36964255,0
36962675,130
36961184,18
36962842,0
36962780,0
36962346,2
36960967,26568
36958418,22
36958708,365
36959264,6
36956630,35464
36956326,59
36956784,1
36956358,9
36956133,21
36956062,1
36955116,14
36954428,2715
36931932,617
36946339,5779
36945342,7438
36945544,5
36945209,3
36944194,1
36942899,0
36942379,8977
36941411,1205
36942315,7
36941842,12
36937528,23257
36937792,698
36937788,508
36936679,55
36935516,30
36937945,2
36937216,8
36936740,0
36935495,9
36937520,321
36936167,46606
36934912,213
36936045,8
36935576,765
36935199,1
36934867,5
36930793,8685
36932273,1398
36931455,266
36928376,103
36932033,1
36931089,3
36928193,4
36925398,0
36925806,1353
36981557,0
36928632,14
36928095,3
36924750,2
36921159,1918
36915089,46
36919122,10
36917707,0
36917290,8
36915096,0
36920662,1653
36913844,1334
36915065,138
36915094,2405
36910014,10
36914958,1665
36914954,2190
36913164,2
36912230,0
36912208,0
36911616,7
36910265,3
36912440,1902
36912661,17
36904025,4
36909298,18959
36910957,49703
36910086,915
36904508,84
36910049,2
36908265,2
36906700,6
36905478,2
36902261,55
36900211,3
36899555,10
36898235,1
36898234,3459
36898140,550
36897261,111
36895866,43
36898516,6
36898138,1
36897816,1
36897271,7
36897263,2
36897260,1
36896497,4
36896245,2
36893145,261
36894695,99
36895350,1
36894691,1
36894514,8
36894450,1
36894074,0
36893925,2
36892797,66511
36893458,10848
36892257,8
36891362,54
36891158,2
36892439,398
36891421,356
36892116,4
36891428,6
36891049,2817
36884692,479
36889567,843
36890359,1606
36885961,101
36889811,1
36889457,2
36888933,14
36888559,13
36885677,6
36879552,1327
36885101,1353
36887380,0
36858878,6365
36879883,27
36878058,154
36877893,52
36878510,0
36875280,5457
36875406,817
36876101,111
36874616,142
36873564,4998
36874608,0
36873580,8
36873425,6
36873386,5
36873042,8
36872743,0
36872622,212
36872671,2
36872260,54
36872262,1
36871671,47647
36868929,34235
36871188,53
36866758,490
36871251,7
36871009,9
36870368,63
36867502,1
36867127,2
36865841,1200
36866077,5
36864909,3
36863562,3
36859690,2673
36858892,787
36859797,1621
36859600,2709
36858948,28
36859451,2
36859420,14
36858907,22
36858190,7
36857261,1
36858847,1484
36856075,13
36856014,12
36855635,7
36853785,13
36855841,34743
36855957,145
36855346,154
36855247,1496
36855329,255
36855232,71
36851927,38161
36852553,51142
36854505,40
36850005,229
36853316,0
36852305,2
36851644,0
36849128,132
36849261,49
36838797,4402
36843550,1125
36826733,10708
36826657,24207
36838822,5
36826430,12
36835058,118
36831208,579
36829183,27
36830723,52687
36831379,1142
36827603,4
36833742,737
36827165,458
36831418,1
36830907,7
36824853,7
36674904,845
36825578,1821
36824534,117
36825037,4
36824850,5
36824510,367
36822737,3
36821415,2709
36821426,298
36822198,2
36821922,0
36821559,2
36821553,17
36819572,0
36820644,19419
36819909,19
36820777,64
36814209,8
36809118,13
36819669,705
36818137,1266
36818840,850
36819330,0
36818684,2
36818580,68
36808168,1213
36801650,293
36809429,362
36810374,168
36810346,66
36809338,3663
36808289,705
36809285,16
36808786,16
36808297,0
36808163,0
36807390,4
36805558,4861
36805601,2
36802539,1
36802398,58
36801667,66
36799881,24
36801217,1
36799818,1838
36798361,469
36798855,20917
36798453,80
36794489,2410
36793764,420
36793251,36
36794148,3
36793593,2
36793388,14
36793287,11
36791321,2207
36787225,0
36786843,3
36786394,10
36784217,77
36782840,1
36783439,1203
36783255,1004
36781729,1
36781903,4235
36781785,13318
36780039,221
36780220,154
36778599,32
36764186,54
36778227,0
36778205,15
36777796,12
36777615,9
36771111,191
36772413,4
36772260,3
36764312,31104
36761940,5812
36763959,2130
36764037,32
36760232,3317
36761839,456
36764475,2
36764313,1
36764288,4
36761851,12
36761033,2
36760254,3
36759798,5
36760692,1373
36760828,14
36760277,0
36758897,39
36717264,53246
36759037,27119
36758783,133
36758872,10
36757737,22
36755940,577
36755731,15
36757689,316
36758030,199
36753946,13589
36754288,4
36753196,2
36753029,7
36751900,3016
36748738,421
36748741,16
36746567,2
36752334,2752
36743232,97
36743114,4
36739279,1051
36740196,91
36738148,50
36726727,38251
36737774,20
36737622,4
36713943,0
36736724,689
36736940,101
36737199,23
36736937,15
36736932,59
36736918,0
36736916,6
36736738,30
36736850,6
36734937,7826
36734415,204
36736225,67
36734944,2
36734458,3
36734353,1
36730818,272
36730883,319
36731571,5
36730065,17
36729972,3
36729888,4
36728637,3
36722167,15
36722522,4325
36723680,2176
36722332,3
36718148,1738
36718112,41
36718285,1
36717867,25
36713849,107774
36713545,2692
36714389,2
36713381,675
36713054,283
36712814,37
36713998,17
36714030,76
36711023,1516
36711233,9605
36710375,32655
36710003,55525
36709934,185
36706388,1324
36711245,14
36710875,12
36710751,5
36709984,558
36709814,19
36709725,14
36709181,0
36695556,12
36705767,6774
36705727,12
36705329,3
36704894,29
36699655,47978
36698837,330
36704865,483
36699961,479
36700554,16
36698900,8
36697191,1426
36695600,6204
36699461,86
36696839,91
36697855,8
36693534,249
36695011,4047
36695744,75
36695728,126
36695202,6
36695146,0
36694577,159
36695112,301
36694327,768
36694896,68
36693435,2
36691843,1349
36691813,358
36686986,27
36691208,155
36689424,137
36689782,27
36688470,6
36687019,1
36687008,21
36686163,9019
36664755,275
36686525,148
36686168,1531
36685511,832
36685521,50
36686047,8
36682743,291
36684215,5
36683185,5
36682750,0
36681597,715
36682737,22629
36681074,68565
36679341,241
36679842,36
36679553,50
36677299,5897
36677937,169
36677237,12
36677307,2176
36679097,68
36678350,27
36676721,5256
36676597,720
36676672,1970
36676300,111
36677059,6
36677046,17
36676523,23
36676302,8
36676282,9
36676229,11
36676297,4671
36674596,5236
36674329,863
36674581,58
36674551,9
36674549,4
36674162,2
36671665,0
36668415,8428
36652979,945
36643104,1135
36667216,6
36666507,19028
36664681,1833
36665006,186
36663227,1
36664292,14096
36663719,6
36662117,2
36662078,67
36661953,12
36660023,2
36661688,693
36661933,135
36661697,183
36661711,73
36660057,4259
36661000,9810
36660022,2536
36660025,2
36660024,5306
36659964,1
36652862,7
36649223,0
36643795,3320
36644484,1903
36644264,227
36642174,161
36641832,35
36644194,16
36643349,26
36643341,0
36640555,18899
36641148,376
36640539,317
36640318,58
36640641,14
36640630,4
36637828,25014
36639557,260
36632951,641
36636631,47
36636609,1232
36637456,5
36634860,29375
36635587,448
36634383,30
36634726,803
36636016,2
36635274,1
36634609,2
36634409,5
36633468,8
36632228,7350
36631166,310
36632731,1
36626526,841
36626622,621
36625523,10954
36626312,1498
36626311,6287
36625072,12
36624265,12
36622152,1
36625524,1002
36621335,884
36623869,145
36623866,1
36623733,4
36622156,0
36546894,68817
36620310,6
36619131,2
36620237,599
36617841,194484
36617334,2882
36617921,45091
36617922,10906
36616961,0
36615957,3
36615929,3
36613696,43622
36613596,905
36611590,2
36607917,3260
36607470,3854
36607685,12223
36607261,2761
36608245,382
36608065,6
36607248,3394
36582899,21150
36605345,138
36605312,1
36605295,3
36605157,12
36604208,0
36602753,8
36604256,60198
36601157,65925
36601978,261
36603042,17
36602996,4
36601941,3
36602086,4010
36602117,1299
36601098,146
36601500,42
36599950,153511
36598227,35447
36599956,2572
36599478,2
36590359,628
36595552,514
36593625,128
36596319,14
36595624,0
36595617,4074
36595467,6
36593519,20
36591912,3
36545873,18170
36593603,11961
36584274,2783
36584513,2
36584243,1
36584242,0
36584140,17
36583298,8
36583263,3
36579814,107
36580997,24
36579728,9
36579651,1510
36575874,3970
36579742,103
36579346,50
36581214,0
36578562,57
36578435,0
36578223,5
36575868,609
36566846,4
36574678,2710
36572995,113
36573004,676
36571120,5
36569618,686
36567701,682
36566739,63
36569511,0
36568540,16
36567561,16
36566808,10
36565546,4
36564298,1464
36564674,360
36564752,717
36564382,0
36552367,649
36561933,657
36561814,1325
36562423,8
36562216,6908
36558578,9
36556312,0
36556310,0
110622363,0
36560305,1
36560258,12
36560249,15
36560218,4
36558607,3
36556289,0
36558295,3387
36549241,46193
36556246,0
36549607,1131
36550866,390
36549535,7955
36550546,0
36550542,4
36545586,5099
36547655,305
36547892,44
36539820,517
36543922,173
36544047,4
36544012,11
36543455,0
36542541,222
36542300,76
36543484,31
36543691,1
36543436,0
36543454,0
36543435,0
36530834,8117
36541677,2
36541122,2
36540135,14
36539561,35
36538039,0
36536345,920
36536110,115
36537459,1
36537458,3
36537443,2
36537442,0
36537441,1
36536502,8
36536169,6
36528457,0
36521485,1898
36521747,5
36520653,24
36518215,2987
36511844,235
36518818,136
36518573,3
36518157,14
36517467,29
36517247,3
36517243,0
36517270,125
36517242,0
36517238,0
36517473,505
36517017,1
36515810,5757
36516527,477
110606538,0
36515983,0
36515982,0
36515977,0
36515914,9
36515535,3
36511079,1677
36509941,923
36506985,4590
36505043,2311
36507745,426
36503077,0
36503076,0
36503075,0
36505343,1017
36505302,446
36503071,1
36503065,0
36502896,16853
36500065,1
36500064,0
36500063,0
110619230,0
36498645,25
36494231,814
36494261,1428
110607320,9
36494637,1
36494511,16
36493773,4
36487759,1
36491744,272
36488315,8
36488313,7
36488261,11
36487496,25
36485522,613
36484333,62
36484076,23
36477759,19112
36483322,663
36482616,1
36482300,2
36481206,3077
36480896,4559
36482244,56
36482193,35
36481135,9
36480673,255
36481490,865
36475958,24
36480901,7
36478402,6875
36475962,114
36478236,0
36477880,4
36477327,23
